#SampleID	MouseId	TSampleId	Treatment	TreatmentDate	TreatmentDateCat	TreatmentExt	MiSeqId2
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical
1	Ciprofloxacin_0.1_1	1_S1	Ciprofloxacin_0.1	6/22/2018	622	Ciprofloxacin_0.1_622	1
2	Ciprofloxacin_0.1_2	2_S2	Ciprofloxacin_0.1	6/22/2018	622	Ciprofloxacin_0.1_622	2
3	Ciprofloxacin_0.1_3	3_S3	Ciprofloxacin_0.1	6/22/2018	622	Ciprofloxacin_0.1_622	3
4	Ciprofloxacin_0.1_4	4_S4	Ciprofloxacin_0.1	6/22/2018	622	Ciprofloxacin_0.1_622	4
5	Ciprofloxacin_0.1_5	5_S5	Ciprofloxacin_0.1	6/22/2018	622	Ciprofloxacin_0.1_622	5
6	Ciprofloxacin_0.1_6	6_S6	Ciprofloxacin_0.1	6/22/2018	622	Ciprofloxacin_0.1_622	6
7	Ciprofloxacin_0.1_7	7_S7	Ciprofloxacin_0.1	6/22/2018	622	Ciprofloxacin_0.1_622	7
43	Ciprofloxacin_0.1_1	43_S43	Ciprofloxacin_0.1	7/6/2018	706	Ciprofloxacin_0.1_706	43
44	Ciprofloxacin_0.1_2	44_S44	Ciprofloxacin_0.1	7/6/2018	706	Ciprofloxacin_0.1_706	44
45	Ciprofloxacin_0.1_3	45_S45	Ciprofloxacin_0.1	7/6/2018	706	Ciprofloxacin_0.1_706	45
46	Ciprofloxacin_0.1_4	46_S46	Ciprofloxacin_0.1	7/6/2018	706	Ciprofloxacin_0.1_706	46
47	Ciprofloxacin_0.1_5	47_S47	Ciprofloxacin_0.1	7/6/2018	706	Ciprofloxacin_0.1_706	47
48	Ciprofloxacin_0.1_6	48_S48	Ciprofloxacin_0.1	7/6/2018	706	Ciprofloxacin_0.1_706	48
49	Ciprofloxacin_0.1_7	49_S49	Ciprofloxacin_0.1	7/6/2018	706	Ciprofloxacin_0.1_706	49
85	Ciprofloxacin_0.1_1	85_S85	Ciprofloxacin_0.1	7/19/2018	719	Ciprofloxacin_0.1_719	85
86	Ciprofloxacin_0.1_5	86_S86	Ciprofloxacin_0.1	7/19/2018	719	Ciprofloxacin_0.1_719	86
8	Ciprofloxacin_0.5_1	8_S8	Ciprofloxacin_0.5	6/22/2018	622	Ciprofloxacin_0.5_622	8
9	Ciprofloxacin_0.5_2	9_S9	Ciprofloxacin_0.5	6/22/2018	622	Ciprofloxacin_0.5_622	9
10	Ciprofloxacin_0.5_3	10_S10	Ciprofloxacin_0.5	6/22/2018	622	Ciprofloxacin_0.5_622	10
11	Ciprofloxacin_0.5_4	11_S11	Ciprofloxacin_0.5	6/22/2018	622	Ciprofloxacin_0.5_622	11
12	Ciprofloxacin_0.5_5	12_S12	Ciprofloxacin_0.5	6/22/2018	622	Ciprofloxacin_0.5_622	12
13	Ciprofloxacin_0.5_6	13_S13	Ciprofloxacin_0.5	6/22/2018	622	Ciprofloxacin_0.5_622	13
14	Ciprofloxacin_0.5_7	14_S14	Ciprofloxacin_0.5	6/22/2018	622	Ciprofloxacin_0.5_622	14
50	Ciprofloxacin_0.5_1	50_S50	Ciprofloxacin_0.5	7/6/2018	706	Ciprofloxacin_0.5_706	50
51	Ciprofloxacin_0.5_2	51_S51	Ciprofloxacin_0.5	7/6/2018	706	Ciprofloxacin_0.5_706	51
52	Ciprofloxacin_0.5_3	52_S52	Ciprofloxacin_0.5	7/6/2018	706	Ciprofloxacin_0.5_706	52
53	Ciprofloxacin_0.5_4	53_S53	Ciprofloxacin_0.5	7/6/2018	706	Ciprofloxacin_0.5_706	53
54	Ciprofloxacin_0.5_5	54_S54	Ciprofloxacin_0.5	7/6/2018	706	Ciprofloxacin_0.5_706	54
55	Ciprofloxacin_0.5_6	55_S55	Ciprofloxacin_0.5	7/6/2018	706	Ciprofloxacin_0.5_706	55
56	Ciprofloxacin_0.5_7	56_S56	Ciprofloxacin_0.5	7/6/2018	706	Ciprofloxacin_0.5_706	56
87	Ciprofloxacin_0.5_3	87_S87	Ciprofloxacin_0.5	7/19/2018	719	Ciprofloxacin_0.5_719	87
15	Ceftazidime_0.1_1	15_S15	Ceftazidime_0.1	6/22/2018	622	Ceftazidime_0.1_622	15
16	Ceftazidime_0.1_2	16_S16	Ceftazidime_0.1	6/22/2018	622	Ceftazidime_0.1_622	16
17	Ceftazidime_0.1_3	17_S17	Ceftazidime_0.1	6/22/2018	622	Ceftazidime_0.1_622	17
18	Ceftazidime_0.1_4	18_S18	Ceftazidime_0.1	6/22/2018	622	Ceftazidime_0.1_622	18
19	Ceftazidime_0.1_5	19_S19	Ceftazidime_0.1	6/22/2018	622	Ceftazidime_0.1_622	19
20	Ceftazidime_0.1_6	20_S20	Ceftazidime_0.1	6/22/2018	622	Ceftazidime_0.1_622	20
21	Ceftazidime_0.1_7	21_S21	Ceftazidime_0.1	6/22/2018	622	Ceftazidime_0.1_622	21
57	Ceftazidime_0.1_1	57_S57	Ceftazidime_0.1	7/6/2018	706	Ceftazidime_0.1_706	57
58	Ceftazidime_0.1_2	58_S58	Ceftazidime_0.1	7/6/2018	706	Ceftazidime_0.1_706	58
59	Ceftazidime_0.1_3	59_S59	Ceftazidime_0.1	7/6/2018	706	Ceftazidime_0.1_706	59
60	Ceftazidime_0.1_4	60_S60	Ceftazidime_0.1	7/6/2018	706	Ceftazidime_0.1_706	60
61	Ceftazidime_0.1_5	61_S61	Ceftazidime_0.1	7/6/2018	706	Ceftazidime_0.1_706	61
62	Ceftazidime_0.1_6	62_S62	Ceftazidime_0.1	7/6/2018	706	Ceftazidime_0.1_706	62
63	Ceftazidime_0.1_7	63_S63	Ceftazidime_0.1	7/6/2018	706	Ceftazidime_0.1_706	63
88	Ceftazidime_0.1_4	88_S88	Ceftazidime_0.1	7/19/2018	719	Ceftazidime_0.1_719	88
22	Ceftazidime_0.5_1	22_S22	Ceftazidime_0.5	6/22/2018	622	Ceftazidime_0.5_622	22
23	Ceftazidime_0.5_2	23_S23	Ceftazidime_0.5	6/22/2018	622	Ceftazidime_0.5_622	23
24	Ceftazidime_0.5_3	24_S24	Ceftazidime_0.5	6/22/2018	622	Ceftazidime_0.5_622	24
25	Ceftazidime_0.5_4	25_S25	Ceftazidime_0.5	6/22/2018	622	Ceftazidime_0.5_622	25
26	Ceftazidime_0.5_5	26_S26	Ceftazidime_0.5	6/22/2018	622	Ceftazidime_0.5_622	26
27	Ceftazidime_0.5_6	27_S27	Ceftazidime_0.5	6/22/2018	622	Ceftazidime_0.5_622	27
28	Ceftazidime_0.5_7	28_S28	Ceftazidime_0.5	6/22/2018	622	Ceftazidime_0.5_622	28
64	Ceftazidime_0.5_1	64_S64	Ceftazidime_0.5	7/6/2018	706	Ceftazidime_0.5_706	64
65	Ceftazidime_0.5_2	65_S65	Ceftazidime_0.5	7/6/2018	706	Ceftazidime_0.5_706	65
66	Ceftazidime_0.5_3	66_S66	Ceftazidime_0.5	7/6/2018	706	Ceftazidime_0.5_706	66
67	Ceftazidime_0.5_4	67_S67	Ceftazidime_0.5	7/6/2018	706	Ceftazidime_0.5_706	67
68	Ceftazidime_0.5_5	68_S68	Ceftazidime_0.5	7/6/2018	706	Ceftazidime_0.5_706	68
69	Ceftazidime_0.5_6	69_S69	Ceftazidime_0.5	7/6/2018	706	Ceftazidime_0.5_706	69
70	Ceftazidime_0.5_7	70_S70	Ceftazidime_0.5	7/6/2018	706	Ceftazidime_0.5_706	70
89	Ceftazidime_0.5_4	89_S89	Ceftazidime_0.5	7/19/2018	719	Ceftazidime_0.5_719	89
29	Ampicillin_0.5_1	29_S29	Ampicillin_0.5	6/22/2018	622	Ampicillin_0.5_622	29
30	Ampicillin_0.5_2	30_S30	Ampicillin_0.5	6/22/2018	622	Ampicillin_0.5_622	30
31	Ampicillin_0.5_3	31_S31	Ampicillin_0.5	6/22/2018	622	Ampicillin_0.5_622	31
32	Ampicillin_0.5_4	32_S32	Ampicillin_0.5	6/22/2018	622	Ampicillin_0.5_622	32
33	Ampicillin_0.5_5	33_S33	Ampicillin_0.5	6/22/2018	622	Ampicillin_0.5_622	33
34	Ampicillin_0.5_6	34_S34	Ampicillin_0.5	6/22/2018	622	Ampicillin_0.5_622	34
35	Ampicillin_0.5_7	35_S35	Ampicillin_0.5	6/22/2018	622	Ampicillin_0.5_622	35
71	Ampicillin_0.5_1	71_S71	Ampicillin_0.5	7/6/2018	706	Ampicillin_0.5_706	71
72	Ampicillin_0.5_2	72_S72	Ampicillin_0.5	7/6/2018	706	Ampicillin_0.5_706	72
73	Ampicillin_0.5_3	73_S73	Ampicillin_0.5	7/6/2018	706	Ampicillin_0.5_706	73
74	Ampicillin_0.5_4	74_S74	Ampicillin_0.5	7/6/2018	706	Ampicillin_0.5_706	74
