#SampleID	Metaphlan2_Analysis
k__Bacteria	99.98576
k__Archaea	0.01021
k__Eukaryota	0.00403
k__Bacteria|p__Bacteroidetes	52.50972
k__Bacteria|p__Firmicutes	47.04921
k__Bacteria|p__Actinobacteria	0.31673
k__Bacteria|p__Spirochaetes	0.06728
k__Bacteria|p__Proteobacteria	0.04281
k__Archaea|p__Euryarchaeota	0.01021
k__Eukaryota|p__Eukaryota_noname	0.00403
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	52.50972
k__Bacteria|p__Firmicutes|c__Clostridia	28.54361
k__Bacteria|p__Firmicutes|c__Negativicutes	11.98642
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	6.51918
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.31673
k__Bacteria|p__Spirochaetes|c__Spirochaetia	0.06728
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.03183
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.01098
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.01021
k__Eukaryota|p__Eukaryota_noname|c__Eukaryota_noname	0.00403
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	52.50972
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	28.54361
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	11.98642
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	6.51918
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.31253
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	0.06728
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	0.03183
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.01098
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.01021
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.0042
k__Eukaryota|p__Eukaryota_noname|c__Eukaryota_noname|o__Eukaryota_noname	0.00403
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	52.44981
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	13.5639
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae	11.86527
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	10.87484
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	6.51918
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	3.84305
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.31253
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0.24031
