"Taxa"	"Group"
"1"	"Lactobacillus"	"NUM"
"2"	"Parvimonas"	"DEN"
"3"	"Fusobacterium"	"DEN"
"4"	"Eubacterium"	"NUM"
"5"	"Pseudoflavonifractor"	"DEN"
"6"	"Streptococcus"	"NUM"
"7"	"Bacteroidales_noname"	"NUM"
"8"	"Coriobacteriaceae_noname"	"NUM"
"9"	"Haemophilus"	"NUM"
"10"	"Peptostreptococcus"	"DEN"
"11"	"Clostridiales_Family_XIII_Incertae_Sedis_unclassified"	"NUM"
"12"	"Olsenella"	"DEN"
"13"	"Enterococcus"	"NUM"
"14"	"Sutterella"	"NUM"
"15"	"Burkholderiales_noname"	"NUM"
"16"	"Phascolarctobacterium"	"NUM"
"17"	"Bilophila"	"DEN"
