KEY;DATASET;PAIR_1;PAIR_2;SINGLE;IS_PAIR_END;PATH
SRR4052021;AsnicarF_2017;SRR4052021_1.fastq.gz;SRR4052021_2.fastq.gz;SRR4052021.fastq.gz;True;/gfs/data/curated_metagenomes/AsnicarF_2017
SRR4052022;AsnicarF_2017;SRR4052022_1.fastq.gz;SRR4052022_2.fastq.gz;SRR4052022.fastq.gz;True;/gfs/data/curated_metagenomes/AsnicarF_2017
SRR4052023;AsnicarF_2017;SRR4052023_1.fastq.gz;SRR4052023_2.fastq.gz;SRR4052023.fastq.gz;True;/gfs/data/curated_metagenomes/AsnicarF_2017
SRR4052024;AsnicarF_2017;SRR4052024_1.fastq.gz;SRR4052024_2.fastq.gz;SRR4052024.fastq.gz;True;/gfs/data/curated_metagenomes/AsnicarF_2017
SRR4052025;AsnicarF_2017;SRR4052025_1.fastq.gz;SRR4052025_2.fastq.gz;SRR4052025.fastq.gz;True;/gfs/data/curated_metagenomes/AsnicarF_2017
SRR4052026;AsnicarF_2017;SRR4052026_1.fastq.gz;SRR4052026_2.fastq.gz;SRR4052026.fastq.gz;True;/gfs/data/curated_metagenomes/AsnicarF_2017
SRR4052027;AsnicarF_2017;SRR4052027_1.fastq.gz;SRR4052027_2.fastq.gz;SRR4052027.fastq.gz;True;/gfs/data/curated_metagenomes/AsnicarF_2017
SRR4052028;AsnicarF_2017;SRR4052028_1.fastq.gz;SRR4052028_2.fastq.gz;SRR4052028.fastq.gz;True;/gfs/data/curated_metagenomes/AsnicarF_2017
SRR4052029;AsnicarF_2017;SRR4052029_1.fastq.gz;SRR4052029_2.fastq.gz;SRR4052029.fastq.gz;True;/gfs/data/curated_metagenomes/AsnicarF_2017
SRR4052030;AsnicarF_2017;SRR4052030_1.fastq.gz;SRR4052030_2.fastq.gz;SRR4052030.fastq.gz;True;/gfs/data/curated_metagenomes/AsnicarF_2017
SRR4052031;AsnicarF_2017;SRR4052031_1.fastq.gz;SRR4052031_2.fastq.gz;SRR4052031.fastq.gz;True;/gfs/data/curated_metagenomes/AsnicarF_2017
SRR4052032;AsnicarF_2017;SRR4052032_1.fastq.gz;SRR4052032_2.fastq.gz;SRR4052032.fastq.gz;True;/gfs/data/curated_metagenomes/AsnicarF_2017
SRR4052033;AsnicarF_2017;SRR4052033_1.fastq.gz;SRR4052033_2.fastq.gz;SRR4052033.fastq.gz;True;/gfs/data/curated_metagenomes/AsnicarF_2017
SRR4052034;AsnicarF_2017;SRR4052034_1.fastq.gz;SRR4052034_2.fastq.gz;SRR4052034.fastq.gz;True;/gfs/data/curated_metagenomes/AsnicarF_2017
SRR4052035;AsnicarF_2017;SRR4052035_1.fastq.gz;SRR4052035_2.fastq.gz;SRR4052035.fastq.gz;True;/gfs/data/curated_metagenomes/AsnicarF_2017
SRR4052036;AsnicarF_2017;SRR4052036_1.fastq.gz;SRR4052036_2.fastq.gz;SRR4052036.fastq.gz;True;/gfs/data/curated_metagenomes/AsnicarF_2017
SRR4052037;AsnicarF_2017;SRR4052037_1.fastq.gz;SRR4052037_2.fastq.gz;SRR4052037.fastq.gz;True;/gfs/data/curated_metagenomes/AsnicarF_2017
SRR4052038;AsnicarF_2017;SRR4052038_1.fastq.gz;SRR4052038_2.fastq.gz;SRR4052038.fastq.gz;True;/gfs/data/curated_metagenomes/AsnicarF_2017
SRR4052039;AsnicarF_2017;SRR4052039_1.fastq.gz;SRR4052039_2.fastq.gz;SRR4052039.fastq.gz;True;/gfs/data/curated_metagenomes/AsnicarF_2017
SRR4052040;AsnicarF_2017;SRR4052040_1.fastq.gz;SRR4052040_2.fastq.gz;SRR4052040.fastq.gz;True;/gfs/data/curated_metagenomes/AsnicarF_2017
SRR4052041;AsnicarF_2017;SRR4052041_1.fastq.gz;SRR4052041_2.fastq.gz;SRR4052041.fastq.gz;True;/gfs/data/curated_metagenomes/AsnicarF_2017
SRR4052042;AsnicarF_2017;SRR4052042_1.fastq.gz;SRR4052042_2.fastq.gz;SRR4052042.fastq.gz;True;/gfs/data/curated_metagenomes/AsnicarF_2017
SRR4052043;AsnicarF_2017;SRR4052043_1.fastq.gz;SRR4052043_2.fastq.gz;SRR4052043.fastq.gz;True;/gfs/data/curated_metagenomes/AsnicarF_2017
SRR4052044;AsnicarF_2017;SRR4052044_1.fastq.gz;SRR4052044_2.fastq.gz;SRR4052044.fastq.gz;True;/gfs/data/curated_metagenomes/AsnicarF_2017
