KEY;DATASET;PAIR_1;PAIR_2;SINGLE;IS_PAIR_END;PATH
SRR2187417;BritoIL_2016;SRR2187417_1.fastq.gz;SRR2187417_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187142;BritoIL_2016;SRR2187142_1.fastq.gz;SRR2187142_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187143;BritoIL_2016;SRR2187143_1.fastq.gz;SRR2187143_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187144;BritoIL_2016;SRR2187144_1.fastq.gz;SRR2187144_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187145;BritoIL_2016;SRR2187145_1.fastq.gz;SRR2187145_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187146;BritoIL_2016;SRR2187146_1.fastq.gz;SRR2187146_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187147;BritoIL_2016;SRR2187147_1.fastq.gz;SRR2187147_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187148;BritoIL_2016;SRR2187148_1.fastq.gz;SRR2187148_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187348;BritoIL_2016;SRR2187348_1.fastq.gz;SRR2187348_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187349;BritoIL_2016;SRR2187349_1.fastq.gz;SRR2187349_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187350;BritoIL_2016;SRR2187350_1.fastq.gz;SRR2187350_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187351;BritoIL_2016;SRR2187351_1.fastq.gz;SRR2187351_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187352;BritoIL_2016;SRR2187352_1.fastq.gz;SRR2187352_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187353;BritoIL_2016;SRR2187353_1.fastq.gz;SRR2187353_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187354;BritoIL_2016;SRR2187354_1.fastq.gz;SRR2187354_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187355;BritoIL_2016;SRR2187355_1.fastq.gz;SRR2187355_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187356;BritoIL_2016;SRR2187356_1.fastq.gz;SRR2187356_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187395;BritoIL_2016;SRR2187395_1.fastq.gz;SRR2187395_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187396;BritoIL_2016;SRR2187396_1.fastq.gz;SRR2187396_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187397;BritoIL_2016;SRR2187397_1.fastq.gz;SRR2187397_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187398;BritoIL_2016;SRR2187398_1.fastq.gz;SRR2187398_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187399;BritoIL_2016;SRR2187399_1.fastq.gz;SRR2187399_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187400;BritoIL_2016;SRR2187400_1.fastq.gz;SRR2187400_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187401;BritoIL_2016;SRR2187401_1.fastq.gz;SRR2187401_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187402;BritoIL_2016;SRR2187402_1.fastq.gz;SRR2187402_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187403;BritoIL_2016;SRR2187403_1.fastq.gz;SRR2187403_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187404;BritoIL_2016;SRR2187404_1.fastq.gz;SRR2187404_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187405;BritoIL_2016;SRR2187405_1.fastq.gz;SRR2187405_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187406;BritoIL_2016;SRR2187406_1.fastq.gz;SRR2187406_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187407;BritoIL_2016;SRR2187407_1.fastq.gz;SRR2187407_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187408;BritoIL_2016;SRR2187408_1.fastq.gz;SRR2187408_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187409;BritoIL_2016;SRR2187409_1.fastq.gz;SRR2187409_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187410;BritoIL_2016;SRR2187410_1.fastq.gz;SRR2187410_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187411;BritoIL_2016;SRR2187411_1.fastq.gz;SRR2187411_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187412;BritoIL_2016;SRR2187412_1.fastq.gz;SRR2187412_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187413;BritoIL_2016;SRR2187413_1.fastq.gz;SRR2187413_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187414;BritoIL_2016;SRR2187414_1.fastq.gz;SRR2187414_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187415;BritoIL_2016;SRR2187415_1.fastq.gz;SRR2187415_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187416;BritoIL_2016;SRR2187416_1.fastq.gz;SRR2187416_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187418;BritoIL_2016;SRR2187418_1.fastq.gz;SRR2187418_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187419;BritoIL_2016;SRR2187419_1.fastq.gz;SRR2187419_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187420;BritoIL_2016;SRR2187420_1.fastq.gz;SRR2187420_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187421;BritoIL_2016;SRR2187421_1.fastq.gz;SRR2187421_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187422;BritoIL_2016;SRR2187422_1.fastq.gz;SRR2187422_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187423;BritoIL_2016;SRR2187423_1.fastq.gz;SRR2187423_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187424;BritoIL_2016;SRR2187424_1.fastq.gz;SRR2187424_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187425;BritoIL_2016;SRR2187425_1.fastq.gz;SRR2187425_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187426;BritoIL_2016;SRR2187426_1.fastq.gz;SRR2187426_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187427;BritoIL_2016;SRR2187427_1.fastq.gz;SRR2187427_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187428;BritoIL_2016;SRR2187428_1.fastq.gz;SRR2187428_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187429;BritoIL_2016;SRR2187429_1.fastq.gz;SRR2187429_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187430;BritoIL_2016;SRR2187430_1.fastq.gz;SRR2187430_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187431;BritoIL_2016;SRR2187431_1.fastq.gz;SRR2187431_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187432;BritoIL_2016;SRR2187432_1.fastq.gz;SRR2187432_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
SRR2187433;BritoIL_2016;SRR2187433_1.fastq.gz;SRR2187433_2.fastq.gz;;True;/gfs/data/curated_metagenomes/BritoIL_2016
