KEY;DATASET;PAIR_1;PAIR_2;SINGLE;IS_PAIR_END;PATH
SRR1950736;ChngKR_2016;SRR1950736_1.fastq.gz;SRR1950736_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950735;ChngKR_2016;SRR1950735_1.fastq.gz;SRR1950735_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950687;ChngKR_2016;SRR1950687_1.fastq.gz;SRR1950687_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950689;ChngKR_2016;SRR1950689_1.fastq.gz;SRR1950689_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950691;ChngKR_2016;SRR1950691_1.fastq.gz;SRR1950691_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950693;ChngKR_2016;SRR1950693_1.fastq.gz;SRR1950693_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950695;ChngKR_2016;SRR1950695_1.fastq.gz;SRR1950695_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950697;ChngKR_2016;SRR1950697_1.fastq.gz;SRR1950697_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950699;ChngKR_2016;SRR1950699_1.fastq.gz;SRR1950699_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950701;ChngKR_2016;SRR1950701_1.fastq.gz;SRR1950701_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950703;ChngKR_2016;SRR1950703_1.fastq.gz;SRR1950703_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950705;ChngKR_2016;SRR1950705_1.fastq.gz;SRR1950705_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950707;ChngKR_2016;SRR1950707_1.fastq.gz;SRR1950707_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950709;ChngKR_2016;SRR1950709_1.fastq.gz;SRR1950709_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950710;ChngKR_2016;SRR1950710_1.fastq.gz;SRR1950710_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950711;ChngKR_2016;SRR1950711_1.fastq.gz;SRR1950711_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950712;ChngKR_2016;SRR1950712_1.fastq.gz;SRR1950712_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950713;ChngKR_2016;SRR1950713_1.fastq.gz;SRR1950713_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950714;ChngKR_2016;SRR1950714_1.fastq.gz;SRR1950714_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950715;ChngKR_2016;SRR1950715_1.fastq.gz;SRR1950715_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950716;ChngKR_2016;SRR1950716_1.fastq.gz;SRR1950716_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950717;ChngKR_2016;SRR1950717_1.fastq.gz;SRR1950717_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950718;ChngKR_2016;SRR1950718_1.fastq.gz;SRR1950718_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950719;ChngKR_2016;SRR1950719_1.fastq.gz;SRR1950719_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950720;ChngKR_2016;SRR1950720_1.fastq.gz;SRR1950720_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950721;ChngKR_2016;SRR1950721_1.fastq.gz;SRR1950721_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950722;ChngKR_2016;SRR1950722_1.fastq.gz;SRR1950722_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950723;ChngKR_2016;SRR1950723_1.fastq.gz;SRR1950723_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950724;ChngKR_2016;SRR1950724_1.fastq.gz;SRR1950724_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950725;ChngKR_2016;SRR1950725_1.fastq.gz;SRR1950725_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950726;ChngKR_2016;SRR1950726_1.fastq.gz;SRR1950726_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950727;ChngKR_2016;SRR1950727_1.fastq.gz;SRR1950727_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950728;ChngKR_2016;SRR1950728_1.fastq.gz;SRR1950728_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950729;ChngKR_2016;SRR1950729_1.fastq.gz;SRR1950729_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950730;ChngKR_2016;SRR1950730_1.fastq.gz;SRR1950730_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950731;ChngKR_2016;SRR1950731_1.fastq.gz;SRR1950731_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950732;ChngKR_2016;SRR1950732_1.fastq.gz;SRR1950732_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950733;ChngKR_2016;SRR1950733_1.fastq.gz;SRR1950733_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950734;ChngKR_2016;SRR1950734_1.fastq.gz;SRR1950734_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950737;ChngKR_2016;SRR1950737_1.fastq.gz;SRR1950737_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950738;ChngKR_2016;SRR1950738_1.fastq.gz;SRR1950738_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950739;ChngKR_2016;SRR1950739_1.fastq.gz;SRR1950739_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
SRR1950740;ChngKR_2016;SRR1950740_1.fastq.gz;SRR1950740_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ChngKR_2016
