KEY;DATASET;PAIR_1;PAIR_2;SINGLE;IS_PAIR_END;PATH
ERR688448;FengQ_2015;;;ERR688448.fastq.gz;False;/gfs/data/curated_metagenomes/FengQ_2015
ERR688447;FengQ_2015;;;ERR688447.fastq.gz;False;/gfs/data/curated_metagenomes/FengQ_2015
ERR688358;FengQ_2015;;;ERR688358.fastq.gz;False;/gfs/data/curated_metagenomes/FengQ_2015
ERR688359;FengQ_2015;;;ERR688359.fastq.gz;False;/gfs/data/curated_metagenomes/FengQ_2015
ERR688360;FengQ_2015;;;ERR688360.fastq.gz;False;/gfs/data/curated_metagenomes/FengQ_2015
ERR688361;FengQ_2015;;;ERR688361.fastq.gz;False;/gfs/data/curated_metagenomes/FengQ_2015
ERR688362;FengQ_2015;;;ERR688362.fastq.gz;False;/gfs/data/curated_metagenomes/FengQ_2015
ERR688363;FengQ_2015;;;ERR688363.fastq.gz;False;/gfs/data/curated_metagenomes/FengQ_2015
ERR688364;FengQ_2015;;;ERR688364.fastq.gz;False;/gfs/data/curated_metagenomes/FengQ_2015
ERR688365;FengQ_2015;;;ERR688365.fastq.gz;False;/gfs/data/curated_metagenomes/FengQ_2015
ERR688366;FengQ_2015;;;ERR688366.fastq.gz;False;/gfs/data/curated_metagenomes/FengQ_2015
ERR688367;FengQ_2015;;;ERR688367.fastq.gz;False;/gfs/data/curated_metagenomes/FengQ_2015
ERR688368;FengQ_2015;;;ERR688368.fastq.gz;False;/gfs/data/curated_metagenomes/FengQ_2015
ERR688369;FengQ_2015;;;ERR688369.fastq.gz;False;/gfs/data/curated_metagenomes/FengQ_2015
ERR688370;FengQ_2015;;;ERR688370.fastq.gz;False;/gfs/data/curated_metagenomes/FengQ_2015
ERR688371;FengQ_2015;;;ERR688371.fastq.gz;False;/gfs/data/curated_metagenomes/FengQ_2015
ERR688372;FengQ_2015;;;ERR688372.fastq.gz;False;/gfs/data/curated_metagenomes/FengQ_2015
ERR688373;FengQ_2015;;;ERR688373.fastq.gz;False;/gfs/data/curated_metagenomes/FengQ_2015
ERR688374;FengQ_2015;;;ERR688374.fastq.gz;False;/gfs/data/curated_metagenomes/FengQ_2015
