KEY;DATASET;PAIR_1;PAIR_2;SINGLE;IS_PAIR_END;PATH
SRR3313061;Heitz-BuschartA_2016;SRR3313061_1.fastq.gz;SRR3313061_2.fastq.gz;SRR3313061.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313034;Heitz-BuschartA_2016;SRR3313034_1.fastq.gz;SRR3313034_2.fastq.gz;SRR3313034.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313035;Heitz-BuschartA_2016;SRR3313035_1.fastq.gz;SRR3313035_2.fastq.gz;SRR3313035.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313036;Heitz-BuschartA_2016;SRR3313036_1.fastq.gz;SRR3313036_2.fastq.gz;SRR3313036.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313037;Heitz-BuschartA_2016;SRR3313037_1.fastq.gz;SRR3313037_2.fastq.gz;SRR3313037.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313038;Heitz-BuschartA_2016;SRR3313038_1.fastq.gz;SRR3313038_2.fastq.gz;SRR3313038.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313039;Heitz-BuschartA_2016;SRR3313039_1.fastq.gz;SRR3313039_2.fastq.gz;SRR3313039.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313040;Heitz-BuschartA_2016;SRR3313040_1.fastq.gz;SRR3313040_2.fastq.gz;SRR3313040.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313041;Heitz-BuschartA_2016;SRR3313041_1.fastq.gz;SRR3313041_2.fastq.gz;SRR3313041.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313042;Heitz-BuschartA_2016;SRR3313042_1.fastq.gz;SRR3313042_2.fastq.gz;SRR3313042.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313043;Heitz-BuschartA_2016;SRR3313043_1.fastq.gz;SRR3313043_2.fastq.gz;SRR3313043.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313044;Heitz-BuschartA_2016;SRR3313044_1.fastq.gz;SRR3313044_2.fastq.gz;SRR3313044.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313045;Heitz-BuschartA_2016;SRR3313045_1.fastq.gz;SRR3313045_2.fastq.gz;SRR3313045.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313046;Heitz-BuschartA_2016;SRR3313046_1.fastq.gz;SRR3313046_2.fastq.gz;SRR3313046.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313047;Heitz-BuschartA_2016;SRR3313047_1.fastq.gz;SRR3313047_2.fastq.gz;SRR3313047.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313048;Heitz-BuschartA_2016;SRR3313048_1.fastq.gz;SRR3313048_2.fastq.gz;SRR3313048.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313049;Heitz-BuschartA_2016;SRR3313049_1.fastq.gz;SRR3313049_2.fastq.gz;SRR3313049.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313050;Heitz-BuschartA_2016;SRR3313050_1.fastq.gz;SRR3313050_2.fastq.gz;SRR3313050.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313051;Heitz-BuschartA_2016;SRR3313051_1.fastq.gz;SRR3313051_2.fastq.gz;SRR3313051.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313052;Heitz-BuschartA_2016;SRR3313052_1.fastq.gz;SRR3313052_2.fastq.gz;SRR3313052.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313053;Heitz-BuschartA_2016;SRR3313053_1.fastq.gz;SRR3313053_2.fastq.gz;SRR3313053.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313054;Heitz-BuschartA_2016;SRR3313054_1.fastq.gz;SRR3313054_2.fastq.gz;SRR3313054.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313055;Heitz-BuschartA_2016;SRR3313055_1.fastq.gz;SRR3313055_2.fastq.gz;SRR3313055.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313056;Heitz-BuschartA_2016;SRR3313056_1.fastq.gz;SRR3313056_2.fastq.gz;SRR3313056.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313057;Heitz-BuschartA_2016;SRR3313057_1.fastq.gz;SRR3313057_2.fastq.gz;SRR3313057.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313058;Heitz-BuschartA_2016;SRR3313058_1.fastq.gz;SRR3313058_2.fastq.gz;SRR3313058.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313059;Heitz-BuschartA_2016;SRR3313059_1.fastq.gz;SRR3313059_2.fastq.gz;SRR3313059.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313060;Heitz-BuschartA_2016;SRR3313060_1.fastq.gz;SRR3313060_2.fastq.gz;SRR3313060.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313062;Heitz-BuschartA_2016;SRR3313062_1.fastq.gz;SRR3313062_2.fastq.gz;SRR3313062.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313063;Heitz-BuschartA_2016;SRR3313063_1.fastq.gz;SRR3313063_2.fastq.gz;SRR3313063.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313064;Heitz-BuschartA_2016;SRR3313064_1.fastq.gz;SRR3313064_2.fastq.gz;SRR3313064.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313065;Heitz-BuschartA_2016;SRR3313065_1.fastq.gz;SRR3313065_2.fastq.gz;SRR3313065.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313066;Heitz-BuschartA_2016;SRR3313066_1.fastq.gz;SRR3313066_2.fastq.gz;SRR3313066.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313067;Heitz-BuschartA_2016;SRR3313067_1.fastq.gz;SRR3313067_2.fastq.gz;SRR3313067.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313068;Heitz-BuschartA_2016;SRR3313068_1.fastq.gz;SRR3313068_2.fastq.gz;SRR3313068.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313069;Heitz-BuschartA_2016;SRR3313069_1.fastq.gz;SRR3313069_2.fastq.gz;SRR3313069.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313070;Heitz-BuschartA_2016;SRR3313070_1.fastq.gz;SRR3313070_2.fastq.gz;SRR3313070.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313071;Heitz-BuschartA_2016;SRR3313071_1.fastq.gz;SRR3313071_2.fastq.gz;SRR3313071.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313072;Heitz-BuschartA_2016;SRR3313072_1.fastq.gz;SRR3313072_2.fastq.gz;SRR3313072.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313073;Heitz-BuschartA_2016;SRR3313073_1.fastq.gz;SRR3313073_2.fastq.gz;SRR3313073.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313074;Heitz-BuschartA_2016;SRR3313074_1.fastq.gz;SRR3313074_2.fastq.gz;SRR3313074.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313075;Heitz-BuschartA_2016;SRR3313075_1.fastq.gz;SRR3313075_2.fastq.gz;SRR3313075.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313076;Heitz-BuschartA_2016;SRR3313076_1.fastq.gz;SRR3313076_2.fastq.gz;SRR3313076.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313077;Heitz-BuschartA_2016;SRR3313077_1.fastq.gz;SRR3313077_2.fastq.gz;SRR3313077.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313078;Heitz-BuschartA_2016;SRR3313078_1.fastq.gz;SRR3313078_2.fastq.gz;SRR3313078.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313079;Heitz-BuschartA_2016;SRR3313079_1.fastq.gz;SRR3313079_2.fastq.gz;SRR3313079.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313080;Heitz-BuschartA_2016;SRR3313080_1.fastq.gz;SRR3313080_2.fastq.gz;SRR3313080.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313081;Heitz-BuschartA_2016;SRR3313081_1.fastq.gz;SRR3313081_2.fastq.gz;SRR3313081.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313082;Heitz-BuschartA_2016;SRR3313082_1.fastq.gz;SRR3313082_2.fastq.gz;SRR3313082.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313090;Heitz-BuschartA_2016;SRR3313090_1.fastq.gz;SRR3313090_2.fastq.gz;SRR3313090.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313102;Heitz-BuschartA_2016;SRR3313102_1.fastq.gz;SRR3313102_2.fastq.gz;SRR3313102.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313113;Heitz-BuschartA_2016;SRR3313113_1.fastq.gz;SRR3313113_2.fastq.gz;SRR3313113.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
SRR3313123;Heitz-BuschartA_2016;SRR3313123_1.fastq.gz;SRR3313123_2.fastq.gz;SRR3313123.fastq.gz;True;/gfs/data/curated_metagenomes/Heitz-BuschartA_2016
