KEY;DATASET;PAIR_1;PAIR_2;SINGLE;IS_PAIR_END;PATH
ERR260176;KarlssonFH_2013;ERR260176_1.fastq.gz;ERR260176_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260174;KarlssonFH_2013;ERR260174_1.fastq.gz;ERR260174_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260175;KarlssonFH_2013;ERR260175_1.fastq.gz;ERR260175_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260177;KarlssonFH_2013;ERR260177_1.fastq.gz;ERR260177_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260132;KarlssonFH_2013;ERR260132_1.fastq.gz;ERR260132_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260133;KarlssonFH_2013;ERR260133_1.fastq.gz;ERR260133_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260134;KarlssonFH_2013;ERR260134_1.fastq.gz;ERR260134_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260135;KarlssonFH_2013;ERR260135_1.fastq.gz;ERR260135_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260136;KarlssonFH_2013;ERR260136_1.fastq.gz;ERR260136_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260137;KarlssonFH_2013;ERR260137_1.fastq.gz;ERR260137_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260138;KarlssonFH_2013;ERR260138_1.fastq.gz;ERR260138_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260139;KarlssonFH_2013;ERR260139_1.fastq.gz;ERR260139_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260140;KarlssonFH_2013;ERR260140_1.fastq.gz;ERR260140_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260141;KarlssonFH_2013;ERR260141_1.fastq.gz;ERR260141_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260142;KarlssonFH_2013;ERR260142_1.fastq.gz;ERR260142_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260143;KarlssonFH_2013;ERR260143_1.fastq.gz;ERR260143_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260144;KarlssonFH_2013;ERR260144_1.fastq.gz;ERR260144_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260145;KarlssonFH_2013;ERR260145_1.fastq.gz;ERR260145_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260146;KarlssonFH_2013;ERR260146_1.fastq.gz;ERR260146_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260147;KarlssonFH_2013;ERR260147_1.fastq.gz;ERR260147_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260148;KarlssonFH_2013;ERR260148_1.fastq.gz;ERR260148_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260149;KarlssonFH_2013;ERR260149_1.fastq.gz;ERR260149_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260150;KarlssonFH_2013;ERR260150_1.fastq.gz;ERR260150_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260151;KarlssonFH_2013;ERR260151_1.fastq.gz;ERR260151_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260152;KarlssonFH_2013;ERR260152_1.fastq.gz;ERR260152_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260153;KarlssonFH_2013;ERR260153_1.fastq.gz;ERR260153_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260154;KarlssonFH_2013;ERR260154_1.fastq.gz;ERR260154_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260155;KarlssonFH_2013;ERR260155_1.fastq.gz;ERR260155_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260156;KarlssonFH_2013;ERR260156_1.fastq.gz;ERR260156_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260157;KarlssonFH_2013;ERR260157_1.fastq.gz;ERR260157_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260158;KarlssonFH_2013;ERR260158_1.fastq.gz;ERR260158_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260159;KarlssonFH_2013;ERR260159_1.fastq.gz;ERR260159_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260160;KarlssonFH_2013;ERR260160_1.fastq.gz;ERR260160_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260161;KarlssonFH_2013;ERR260161_1.fastq.gz;ERR260161_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260162;KarlssonFH_2013;ERR260162_1.fastq.gz;ERR260162_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260163;KarlssonFH_2013;ERR260163_1.fastq.gz;ERR260163_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260164;KarlssonFH_2013;ERR260164_1.fastq.gz;ERR260164_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260165;KarlssonFH_2013;ERR260165_1.fastq.gz;ERR260165_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260166;KarlssonFH_2013;ERR260166_1.fastq.gz;ERR260166_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260167;KarlssonFH_2013;ERR260167_1.fastq.gz;ERR260167_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260168;KarlssonFH_2013;ERR260168_1.fastq.gz;ERR260168_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260169;KarlssonFH_2013;ERR260169_1.fastq.gz;ERR260169_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260170;KarlssonFH_2013;ERR260170_1.fastq.gz;ERR260170_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260171;KarlssonFH_2013;ERR260171_1.fastq.gz;ERR260171_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260172;KarlssonFH_2013;ERR260172_1.fastq.gz;ERR260172_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260173;KarlssonFH_2013;ERR260173_1.fastq.gz;ERR260173_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260178;KarlssonFH_2013;ERR260178_1.fastq.gz;ERR260178_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260179;KarlssonFH_2013;ERR260179_1.fastq.gz;ERR260179_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260180;KarlssonFH_2013;ERR260180_1.fastq.gz;ERR260180_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260181;KarlssonFH_2013;ERR260181_1.fastq.gz;ERR260181_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260182;KarlssonFH_2013;ERR260182_1.fastq.gz;ERR260182_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260183;KarlssonFH_2013;ERR260183_1.fastq.gz;ERR260183_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
ERR260184;KarlssonFH_2013;ERR260184_1.fastq.gz;ERR260184_2.fastq.gz;;True;/gfs/data/curated_metagenomes/KarlssonFH_2013
