KEY;DATASET;PAIR_1;PAIR_2;SINGLE;IS_PAIR_END;PATH
ERR321107;LeChatelierE_2013;ERR321107_1.fastq.gz;ERR321107_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321108;LeChatelierE_2013;ERR321108_1.fastq.gz;ERR321108_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321062;LeChatelierE_2013;ERR321062_1.fastq.gz;ERR321062_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321063;LeChatelierE_2013;ERR321063_1.fastq.gz;ERR321063_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321064;LeChatelierE_2013;ERR321064_1.fastq.gz;ERR321064_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321065;LeChatelierE_2013;ERR321065_1.fastq.gz;ERR321065_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321066;LeChatelierE_2013;ERR321066_1.fastq.gz;ERR321066_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321067;LeChatelierE_2013;ERR321067_1.fastq.gz;ERR321067_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321068;LeChatelierE_2013;ERR321068_1.fastq.gz;ERR321068_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321069;LeChatelierE_2013;ERR321069_1.fastq.gz;ERR321069_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321070;LeChatelierE_2013;ERR321070_1.fastq.gz;ERR321070_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321071;LeChatelierE_2013;ERR321071_1.fastq.gz;ERR321071_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321072;LeChatelierE_2013;ERR321072_1.fastq.gz;ERR321072_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321073;LeChatelierE_2013;ERR321073_1.fastq.gz;ERR321073_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321074;LeChatelierE_2013;ERR321074_1.fastq.gz;ERR321074_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321075;LeChatelierE_2013;ERR321075_1.fastq.gz;ERR321075_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321076;LeChatelierE_2013;ERR321076_1.fastq.gz;ERR321076_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321077;LeChatelierE_2013;ERR321077_1.fastq.gz;ERR321077_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321078;LeChatelierE_2013;ERR321078_1.fastq.gz;ERR321078_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321079;LeChatelierE_2013;ERR321079_1.fastq.gz;ERR321079_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321080;LeChatelierE_2013;ERR321080_1.fastq.gz;ERR321080_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321081;LeChatelierE_2013;ERR321081_1.fastq.gz;ERR321081_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321082;LeChatelierE_2013;ERR321082_1.fastq.gz;ERR321082_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321083;LeChatelierE_2013;ERR321083_1.fastq.gz;ERR321083_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321084;LeChatelierE_2013;ERR321084_1.fastq.gz;ERR321084_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321085;LeChatelierE_2013;ERR321085_1.fastq.gz;ERR321085_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321086;LeChatelierE_2013;ERR321086_1.fastq.gz;ERR321086_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321087;LeChatelierE_2013;ERR321087_1.fastq.gz;ERR321087_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321088;LeChatelierE_2013;ERR321088_1.fastq.gz;ERR321088_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321089;LeChatelierE_2013;ERR321089_1.fastq.gz;ERR321089_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321090;LeChatelierE_2013;ERR321090_1.fastq.gz;ERR321090_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321091;LeChatelierE_2013;ERR321091_1.fastq.gz;ERR321091_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321092;LeChatelierE_2013;ERR321092_1.fastq.gz;ERR321092_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321093;LeChatelierE_2013;ERR321093_1.fastq.gz;ERR321093_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321094;LeChatelierE_2013;ERR321094_1.fastq.gz;ERR321094_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321095;LeChatelierE_2013;ERR321095_1.fastq.gz;ERR321095_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321096;LeChatelierE_2013;ERR321096_1.fastq.gz;ERR321096_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321097;LeChatelierE_2013;ERR321097_1.fastq.gz;ERR321097_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321098;LeChatelierE_2013;ERR321098_1.fastq.gz;ERR321098_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321099;LeChatelierE_2013;ERR321099_1.fastq.gz;ERR321099_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
ERR321100;LeChatelierE_2013;ERR321100_1.fastq.gz;ERR321100_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LeChatelierE_2013
