KEY;DATASET;PAIR_1;PAIR_2;SINGLE;IS_PAIR_END;PATH
SRR3992993;LiuW_2016;SRR3992993_1.fastq.gz;SRR3992993_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LiuW_2016
SRR3992955;LiuW_2016;SRR3992955_1.fastq.gz;SRR3992955_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LiuW_2016
SRR3992956;LiuW_2016;SRR3992956_1.fastq.gz;SRR3992956_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LiuW_2016
SRR3992957;LiuW_2016;SRR3992957_1.fastq.gz;SRR3992957_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LiuW_2016
SRR3992958;LiuW_2016;SRR3992958_1.fastq.gz;SRR3992958_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LiuW_2016
SRR3992959;LiuW_2016;SRR3992959_1.fastq.gz;SRR3992959_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LiuW_2016
SRR3992960;LiuW_2016;SRR3992960_1.fastq.gz;SRR3992960_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LiuW_2016
SRR3992961;LiuW_2016;SRR3992961_1.fastq.gz;SRR3992961_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LiuW_2016
SRR3992962;LiuW_2016;SRR3992962_1.fastq.gz;SRR3992962_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LiuW_2016
SRR3992963;LiuW_2016;SRR3992963_1.fastq.gz;SRR3992963_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LiuW_2016
SRR3992964;LiuW_2016;SRR3992964_1.fastq.gz;SRR3992964_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LiuW_2016
SRR3992965;LiuW_2016;SRR3992965_1.fastq.gz;SRR3992965_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LiuW_2016
SRR3992966;LiuW_2016;SRR3992966_1.fastq.gz;SRR3992966_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LiuW_2016
SRR3992967;LiuW_2016;SRR3992967_1.fastq.gz;SRR3992967_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LiuW_2016
SRR3992968;LiuW_2016;SRR3992968_1.fastq.gz;SRR3992968_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LiuW_2016
SRR3992969;LiuW_2016;SRR3992969_1.fastq.gz;SRR3992969_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LiuW_2016
SRR3992970;LiuW_2016;SRR3992970_1.fastq.gz;SRR3992970_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LiuW_2016
SRR3992971;LiuW_2016;SRR3992971_1.fastq.gz;SRR3992971_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LiuW_2016
