KEY;DATASET;PAIR_1;PAIR_2;SINGLE;IS_PAIR_END;PATH
ERR262953;LomanNJ_2013;ERR262953_1.fastq.gz;ERR262953_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LomanNJ_2013
ERR262952;LomanNJ_2013;ERR262952_1.fastq.gz;ERR262952_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LomanNJ_2013
ERR260476;LomanNJ_2013;ERR260476_1.fastq.gz;ERR260476_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LomanNJ_2013
ERR260477;LomanNJ_2013;ERR260477_1.fastq.gz;ERR260477_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LomanNJ_2013
ERR260478;LomanNJ_2013;ERR260478_1.fastq.gz;ERR260478_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LomanNJ_2013
ERR260479;LomanNJ_2013;ERR260479_1.fastq.gz;ERR260479_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LomanNJ_2013
ERR260480;LomanNJ_2013;ERR260480_1.fastq.gz;ERR260480_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LomanNJ_2013
ERR260481;LomanNJ_2013;ERR260481_1.fastq.gz;ERR260481_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LomanNJ_2013
ERR260482;LomanNJ_2013;ERR260482_1.fastq.gz;ERR260482_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LomanNJ_2013
ERR260483;LomanNJ_2013;ERR260483_1.fastq.gz;ERR260483_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LomanNJ_2013
ERR260484;LomanNJ_2013;ERR260484_1.fastq.gz;ERR260484_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LomanNJ_2013
ERR260485;LomanNJ_2013;ERR260485_1.fastq.gz;ERR260485_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LomanNJ_2013
ERR260486;LomanNJ_2013;ERR260486_1.fastq.gz;ERR260486_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LomanNJ_2013
ERR260487;LomanNJ_2013;ERR260487_1.fastq.gz;ERR260487_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LomanNJ_2013
ERR260488;LomanNJ_2013;ERR260488_1.fastq.gz;ERR260488_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LomanNJ_2013
ERR260489;LomanNJ_2013;ERR260489_1.fastq.gz;ERR260489_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LomanNJ_2013
ERR260490;LomanNJ_2013;ERR260490_1.fastq.gz;ERR260490_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LomanNJ_2013
ERR260491;LomanNJ_2013;ERR260491_1.fastq.gz;ERR260491_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LomanNJ_2013
ERR260492;LomanNJ_2013;ERR260492_1.fastq.gz;ERR260492_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LomanNJ_2013
ERR260493;LomanNJ_2013;ERR260493_1.fastq.gz;ERR260493_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LomanNJ_2013
ERR260494;LomanNJ_2013;ERR260494_1.fastq.gz;ERR260494_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LomanNJ_2013
ERR260495;LomanNJ_2013;ERR260495_1.fastq.gz;ERR260495_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LomanNJ_2013
ERR260496;LomanNJ_2013;ERR260496_1.fastq.gz;ERR260496_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LomanNJ_2013
ERR260497;LomanNJ_2013;ERR260497_1.fastq.gz;ERR260497_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LomanNJ_2013
ERR260498;LomanNJ_2013;ERR260498_1.fastq.gz;ERR260498_2.fastq.gz;;True;/gfs/data/curated_metagenomes/LomanNJ_2013
