KEY;DATASET;PAIR_1;PAIR_2;SINGLE;IS_PAIR_END;PATH
ERR209098;NielsenHB_2014;ERR209098_1.fastq.gz;ERR209098_2.fastq.gz;;True;/gfs/data/curated_metagenomes/NielsenHB_2014
ERR209099;NielsenHB_2014;ERR209099_1.fastq.gz;ERR209099_2.fastq.gz;;True;/gfs/data/curated_metagenomes/NielsenHB_2014
ERR209100;NielsenHB_2014;ERR209100_1.fastq.gz;ERR209100_2.fastq.gz;;True;/gfs/data/curated_metagenomes/NielsenHB_2014
ERR209101;NielsenHB_2014;ERR209101_1.fastq.gz;ERR209101_2.fastq.gz;;True;/gfs/data/curated_metagenomes/NielsenHB_2014
ERR209055;NielsenHB_2014;ERR209055_1.fastq.gz;ERR209055_2.fastq.gz;;True;/gfs/data/curated_metagenomes/NielsenHB_2014
ERR209056;NielsenHB_2014;ERR209056_1.fastq.gz;ERR209056_2.fastq.gz;;True;/gfs/data/curated_metagenomes/NielsenHB_2014
ERR209057;NielsenHB_2014;ERR209057_1.fastq.gz;ERR209057_2.fastq.gz;;True;/gfs/data/curated_metagenomes/NielsenHB_2014
ERR209058;NielsenHB_2014;ERR209058_1.fastq.gz;ERR209058_2.fastq.gz;;True;/gfs/data/curated_metagenomes/NielsenHB_2014
ERR209059;NielsenHB_2014;ERR209059_1.fastq.gz;ERR209059_2.fastq.gz;;True;/gfs/data/curated_metagenomes/NielsenHB_2014
ERR209060;NielsenHB_2014;ERR209060_1.fastq.gz;ERR209060_2.fastq.gz;;True;/gfs/data/curated_metagenomes/NielsenHB_2014
ERR209061;NielsenHB_2014;ERR209061_1.fastq.gz;ERR209061_2.fastq.gz;;True;/gfs/data/curated_metagenomes/NielsenHB_2014
ERR209062;NielsenHB_2014;ERR209062_1.fastq.gz;ERR209062_2.fastq.gz;;True;/gfs/data/curated_metagenomes/NielsenHB_2014
ERR209063;NielsenHB_2014;ERR209063_1.fastq.gz;ERR209063_2.fastq.gz;;True;/gfs/data/curated_metagenomes/NielsenHB_2014
ERR209064;NielsenHB_2014;ERR209064_1.fastq.gz;ERR209064_2.fastq.gz;;True;/gfs/data/curated_metagenomes/NielsenHB_2014
ERR209065;NielsenHB_2014;ERR209065_1.fastq.gz;ERR209065_2.fastq.gz;;True;/gfs/data/curated_metagenomes/NielsenHB_2014
ERR209066;NielsenHB_2014;ERR209066_1.fastq.gz;ERR209066_2.fastq.gz;;True;/gfs/data/curated_metagenomes/NielsenHB_2014
ERR209067;NielsenHB_2014;ERR209067_1.fastq.gz;ERR209067_2.fastq.gz;;True;/gfs/data/curated_metagenomes/NielsenHB_2014
