KEY;DATASET;PAIR_1;PAIR_2;SINGLE;IS_PAIR_END;PATH
SRR1761702;Obregon-TitoAJ_2015;SRR1761702_1.fastq.gz;SRR1761702_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761664;Obregon-TitoAJ_2015;SRR1761664_1.fastq.gz;SRR1761664_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761665;Obregon-TitoAJ_2015;SRR1761665_1.fastq.gz;SRR1761665_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761666;Obregon-TitoAJ_2015;SRR1761666_1.fastq.gz;SRR1761666_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761667;Obregon-TitoAJ_2015;SRR1761667_1.fastq.gz;SRR1761667_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761668;Obregon-TitoAJ_2015;SRR1761668_1.fastq.gz;SRR1761668_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761669;Obregon-TitoAJ_2015;SRR1761669_1.fastq.gz;SRR1761669_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761670;Obregon-TitoAJ_2015;SRR1761670_1.fastq.gz;SRR1761670_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761671;Obregon-TitoAJ_2015;SRR1761671_1.fastq.gz;SRR1761671_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761672;Obregon-TitoAJ_2015;SRR1761672_1.fastq.gz;SRR1761672_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761673;Obregon-TitoAJ_2015;SRR1761673_1.fastq.gz;SRR1761673_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761674;Obregon-TitoAJ_2015;SRR1761674_1.fastq.gz;SRR1761674_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761675;Obregon-TitoAJ_2015;SRR1761675_1.fastq.gz;SRR1761675_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761676;Obregon-TitoAJ_2015;SRR1761676_1.fastq.gz;SRR1761676_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761677;Obregon-TitoAJ_2015;SRR1761677_1.fastq.gz;SRR1761677_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761678;Obregon-TitoAJ_2015;SRR1761678_1.fastq.gz;SRR1761678_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761679;Obregon-TitoAJ_2015;SRR1761679_1.fastq.gz;SRR1761679_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761680;Obregon-TitoAJ_2015;SRR1761680_1.fastq.gz;SRR1761680_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761681;Obregon-TitoAJ_2015;SRR1761681_1.fastq.gz;SRR1761681_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761682;Obregon-TitoAJ_2015;SRR1761682_1.fastq.gz;SRR1761682_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761683;Obregon-TitoAJ_2015;SRR1761683_1.fastq.gz;SRR1761683_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761684;Obregon-TitoAJ_2015;SRR1761684_1.fastq.gz;SRR1761684_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761685;Obregon-TitoAJ_2015;SRR1761685_1.fastq.gz;SRR1761685_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761686;Obregon-TitoAJ_2015;SRR1761686_1.fastq.gz;SRR1761686_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761687;Obregon-TitoAJ_2015;SRR1761687_1.fastq.gz;SRR1761687_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761688;Obregon-TitoAJ_2015;SRR1761688_1.fastq.gz;SRR1761688_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761689;Obregon-TitoAJ_2015;SRR1761689_1.fastq.gz;SRR1761689_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761690;Obregon-TitoAJ_2015;SRR1761690_1.fastq.gz;SRR1761690_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761691;Obregon-TitoAJ_2015;SRR1761691_1.fastq.gz;SRR1761691_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761692;Obregon-TitoAJ_2015;SRR1761692_1.fastq.gz;SRR1761692_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761693;Obregon-TitoAJ_2015;SRR1761693_1.fastq.gz;SRR1761693_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761694;Obregon-TitoAJ_2015;SRR1761694_1.fastq.gz;SRR1761694_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761695;Obregon-TitoAJ_2015;SRR1761695_1.fastq.gz;SRR1761695_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761696;Obregon-TitoAJ_2015;SRR1761696_1.fastq.gz;SRR1761696_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761697;Obregon-TitoAJ_2015;SRR1761697_1.fastq.gz;SRR1761697_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761698;Obregon-TitoAJ_2015;SRR1761698_1.fastq.gz;SRR1761698_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761699;Obregon-TitoAJ_2015;SRR1761699_1.fastq.gz;SRR1761699_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761700;Obregon-TitoAJ_2015;SRR1761700_1.fastq.gz;SRR1761700_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761701;Obregon-TitoAJ_2015;SRR1761701_1.fastq.gz;SRR1761701_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761703;Obregon-TitoAJ_2015;SRR1761703_1.fastq.gz;SRR1761703_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761704;Obregon-TitoAJ_2015;SRR1761704_1.fastq.gz;SRR1761704_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761705;Obregon-TitoAJ_2015;SRR1761705_1.fastq.gz;SRR1761705_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761706;Obregon-TitoAJ_2015;SRR1761706_1.fastq.gz;SRR1761706_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761707;Obregon-TitoAJ_2015;SRR1761707_1.fastq.gz;SRR1761707_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761708;Obregon-TitoAJ_2015;SRR1761708_1.fastq.gz;SRR1761708_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761709;Obregon-TitoAJ_2015;SRR1761709_1.fastq.gz;SRR1761709_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761710;Obregon-TitoAJ_2015;SRR1761710_1.fastq.gz;SRR1761710_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761711;Obregon-TitoAJ_2015;SRR1761711_1.fastq.gz;SRR1761711_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761712;Obregon-TitoAJ_2015;SRR1761712_1.fastq.gz;SRR1761712_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761713;Obregon-TitoAJ_2015;SRR1761713_1.fastq.gz;SRR1761713_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761714;Obregon-TitoAJ_2015;SRR1761714_1.fastq.gz;SRR1761714_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761715;Obregon-TitoAJ_2015;SRR1761715_1.fastq.gz;SRR1761715_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761716;Obregon-TitoAJ_2015;SRR1761716_1.fastq.gz;SRR1761716_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761717;Obregon-TitoAJ_2015;SRR1761717_1.fastq.gz;SRR1761717_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761718;Obregon-TitoAJ_2015;SRR1761718_1.fastq.gz;SRR1761718_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761719;Obregon-TitoAJ_2015;SRR1761719_1.fastq.gz;SRR1761719_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761720;Obregon-TitoAJ_2015;SRR1761720_1.fastq.gz;SRR1761720_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761721;Obregon-TitoAJ_2015;SRR1761721_1.fastq.gz;SRR1761721_2.fastq.gz;;True;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761722;Obregon-TitoAJ_2015;;;SRR1761722.fastq.gz;False;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761723;Obregon-TitoAJ_2015;;;SRR1761723.fastq.gz;False;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761724;Obregon-TitoAJ_2015;;;SRR1761724.fastq.gz;False;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761725;Obregon-TitoAJ_2015;;;SRR1761725.fastq.gz;False;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761726;Obregon-TitoAJ_2015;;;SRR1761726.fastq.gz;False;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761727;Obregon-TitoAJ_2015;;;SRR1761727.fastq.gz;False;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761728;Obregon-TitoAJ_2015;;;SRR1761728.fastq.gz;False;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761729;Obregon-TitoAJ_2015;;;SRR1761729.fastq.gz;False;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761730;Obregon-TitoAJ_2015;;;SRR1761730.fastq.gz;False;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761731;Obregon-TitoAJ_2015;;;SRR1761731.fastq.gz;False;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761732;Obregon-TitoAJ_2015;;;SRR1761732.fastq.gz;False;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761733;Obregon-TitoAJ_2015;;;SRR1761733.fastq.gz;False;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761734;Obregon-TitoAJ_2015;;;SRR1761734.fastq.gz;False;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761735;Obregon-TitoAJ_2015;;;SRR1761735.fastq.gz;False;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761736;Obregon-TitoAJ_2015;;;SRR1761736.fastq.gz;False;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761737;Obregon-TitoAJ_2015;;;SRR1761737.fastq.gz;False;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761738;Obregon-TitoAJ_2015;;;SRR1761738.fastq.gz;False;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761739;Obregon-TitoAJ_2015;;;SRR1761739.fastq.gz;False;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761740;Obregon-TitoAJ_2015;;;SRR1761740.fastq.gz;False;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761741;Obregon-TitoAJ_2015;;;SRR1761741.fastq.gz;False;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761742;Obregon-TitoAJ_2015;;;SRR1761742.fastq.gz;False;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761743;Obregon-TitoAJ_2015;;;SRR1761743.fastq.gz;False;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761744;Obregon-TitoAJ_2015;;;SRR1761744.fastq.gz;False;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761745;Obregon-TitoAJ_2015;;;SRR1761745.fastq.gz;False;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761746;Obregon-TitoAJ_2015;;;SRR1761746.fastq.gz;False;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761747;Obregon-TitoAJ_2015;;;SRR1761747.fastq.gz;False;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761748;Obregon-TitoAJ_2015;;;SRR1761748.fastq.gz;False;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
SRR1761749;Obregon-TitoAJ_2015;;;SRR1761749.fastq.gz;False;/gfs/data/curated_metagenomes/Obregon-TitoAJ_2015
