KEY;DATASET;PAIR_1;PAIR_2;SINGLE;IS_PAIR_END;PATH
SRR1622811;OhJ_2014;SRR1622811_1.fastq.gz;SRR1622811_2.fastq.gz;;True;/gfs/data/curated_metagenomes/OhJ_2014
SRR1620013;OhJ_2014;SRR1620013_1.fastq.gz;SRR1620013_2.fastq.gz;;True;/gfs/data/curated_metagenomes/OhJ_2014
SRR1620014;OhJ_2014;SRR1620014_1.fastq.gz;SRR1620014_2.fastq.gz;;True;/gfs/data/curated_metagenomes/OhJ_2014
SRR1620015;OhJ_2014;SRR1620015_1.fastq.gz;SRR1620015_2.fastq.gz;;True;/gfs/data/curated_metagenomes/OhJ_2014
SRR1620016;OhJ_2014;SRR1620016_1.fastq.gz;SRR1620016_2.fastq.gz;;True;/gfs/data/curated_metagenomes/OhJ_2014
SRR1620017;OhJ_2014;SRR1620017_1.fastq.gz;SRR1620017_2.fastq.gz;;True;/gfs/data/curated_metagenomes/OhJ_2014
SRR1620018;OhJ_2014;SRR1620018_1.fastq.gz;SRR1620018_2.fastq.gz;;True;/gfs/data/curated_metagenomes/OhJ_2014
SRR1620019;OhJ_2014;SRR1620019_1.fastq.gz;SRR1620019_2.fastq.gz;;True;/gfs/data/curated_metagenomes/OhJ_2014
SRR1620020;OhJ_2014;SRR1620020_1.fastq.gz;SRR1620020_2.fastq.gz;;True;/gfs/data/curated_metagenomes/OhJ_2014
SRR1620021;OhJ_2014;SRR1620021_1.fastq.gz;SRR1620021_2.fastq.gz;;True;/gfs/data/curated_metagenomes/OhJ_2014
SRR1620022;OhJ_2014;SRR1620022_1.fastq.gz;SRR1620022_2.fastq.gz;;True;/gfs/data/curated_metagenomes/OhJ_2014
SRR1620023;OhJ_2014;SRR1620023_1.fastq.gz;SRR1620023_2.fastq.gz;;True;/gfs/data/curated_metagenomes/OhJ_2014
SRR1620993;OhJ_2014;SRR1620993_1.fastq.gz;SRR1620993_2.fastq.gz;;True;/gfs/data/curated_metagenomes/OhJ_2014
SRR1620994;OhJ_2014;SRR1620994_1.fastq.gz;SRR1620994_2.fastq.gz;;True;/gfs/data/curated_metagenomes/OhJ_2014
SRR1620995;OhJ_2014;SRR1620995_1.fastq.gz;SRR1620995_2.fastq.gz;;True;/gfs/data/curated_metagenomes/OhJ_2014
SRR1620996;OhJ_2014;SRR1620996_1.fastq.gz;SRR1620996_2.fastq.gz;;True;/gfs/data/curated_metagenomes/OhJ_2014
SRR1620997;OhJ_2014;SRR1620997_1.fastq.gz;SRR1620997_2.fastq.gz;;True;/gfs/data/curated_metagenomes/OhJ_2014
SRR1620998;OhJ_2014;SRR1620998_1.fastq.gz;SRR1620998_2.fastq.gz;;True;/gfs/data/curated_metagenomes/OhJ_2014
SRR1620999;OhJ_2014;SRR1620999_1.fastq.gz;SRR1620999_2.fastq.gz;;True;/gfs/data/curated_metagenomes/OhJ_2014
