KEY;DATASET;PAIR_1;PAIR_2;SINGLE;IS_PAIR_END;PATH
SRR341619;QinJ_2012;SRR341619_1.fastq.gz;SRR341619_2.fastq.gz;;True;/gfs/data/curated_metagenomes/QinJ_2012
SRR1778450;QinJ_2012;SRR1778450_1.fastq.gz;SRR1778450_2.fastq.gz;;True;/gfs/data/curated_metagenomes/QinJ_2012
SRR1778451;QinJ_2012;SRR1778451_1.fastq.gz;SRR1778451_2.fastq.gz;;True;/gfs/data/curated_metagenomes/QinJ_2012
SRR1778452;QinJ_2012;SRR1778452_1.fastq.gz;SRR1778452_2.fastq.gz;;True;/gfs/data/curated_metagenomes/QinJ_2012
SRR1778453;QinJ_2012;SRR1778453_1.fastq.gz;SRR1778453_2.fastq.gz;;True;/gfs/data/curated_metagenomes/QinJ_2012
SRR1778454;QinJ_2012;SRR1778454_1.fastq.gz;SRR1778454_2.fastq.gz;;True;/gfs/data/curated_metagenomes/QinJ_2012
SRR1778455;QinJ_2012;SRR1778455_1.fastq.gz;SRR1778455_2.fastq.gz;;True;/gfs/data/curated_metagenomes/QinJ_2012
SRR1778456;QinJ_2012;SRR1778456_1.fastq.gz;SRR1778456_2.fastq.gz;;True;/gfs/data/curated_metagenomes/QinJ_2012
SRR341581;QinJ_2012;SRR341581_1.fastq.gz;SRR341581_2.fastq.gz;;True;/gfs/data/curated_metagenomes/QinJ_2012
SRR341582;QinJ_2012;SRR341582_1.fastq.gz;SRR341582_2.fastq.gz;;True;/gfs/data/curated_metagenomes/QinJ_2012
SRR341583;QinJ_2012;SRR341583_1.fastq.gz;SRR341583_2.fastq.gz;;True;/gfs/data/curated_metagenomes/QinJ_2012
SRR341584;QinJ_2012;SRR341584_1.fastq.gz;SRR341584_2.fastq.gz;;True;/gfs/data/curated_metagenomes/QinJ_2012
SRR341585;QinJ_2012;SRR341585_1.fastq.gz;SRR341585_2.fastq.gz;;True;/gfs/data/curated_metagenomes/QinJ_2012
SRR341586;QinJ_2012;SRR341586_1.fastq.gz;SRR341586_2.fastq.gz;;True;/gfs/data/curated_metagenomes/QinJ_2012
SRR341587;QinJ_2012;SRR341587_1.fastq.gz;SRR341587_2.fastq.gz;;True;/gfs/data/curated_metagenomes/QinJ_2012
SRR341588;QinJ_2012;SRR341588_1.fastq.gz;SRR341588_2.fastq.gz;;True;/gfs/data/curated_metagenomes/QinJ_2012
SRR341589;QinJ_2012;SRR341589_1.fastq.gz;SRR341589_2.fastq.gz;;True;/gfs/data/curated_metagenomes/QinJ_2012
SRR341590;QinJ_2012;SRR341590_1.fastq.gz;SRR341590_2.fastq.gz;;True;/gfs/data/curated_metagenomes/QinJ_2012
