KEY;DATASET;PAIR_1;PAIR_2;SINGLE;IS_PAIR_END;PATH
SRR1927149;RampelliS_2015;SRR1927149_1.fastq.gz;SRR1927149_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RampelliS_2015
SRR1929408;RampelliS_2015;SRR1929408_1.fastq.gz;SRR1929408_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RampelliS_2015
SRR1929484;RampelliS_2015;SRR1929484_1.fastq.gz;SRR1929484_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RampelliS_2015
SRR1929485;RampelliS_2015;SRR1929485_1.fastq.gz;SRR1929485_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RampelliS_2015
SRR1929563;RampelliS_2015;SRR1929563_1.fastq.gz;SRR1929563_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RampelliS_2015
SRR1929574;RampelliS_2015;SRR1929574_1.fastq.gz;SRR1929574_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RampelliS_2015
SRR1930121;RampelliS_2015;SRR1930121_1.fastq.gz;SRR1930121_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RampelliS_2015
SRR1930122;RampelliS_2015;SRR1930122_1.fastq.gz;SRR1930122_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RampelliS_2015
SRR1930123;RampelliS_2015;SRR1930123_1.fastq.gz;SRR1930123_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RampelliS_2015
SRR1930128;RampelliS_2015;SRR1930128_1.fastq.gz;SRR1930128_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RampelliS_2015
SRR1930132;RampelliS_2015;SRR1930132_1.fastq.gz;SRR1930132_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RampelliS_2015
SRR1930133;RampelliS_2015;SRR1930133_1.fastq.gz;SRR1930133_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RampelliS_2015
SRR1930134;RampelliS_2015;SRR1930134_1.fastq.gz;SRR1930134_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RampelliS_2015
SRR1930136;RampelliS_2015;SRR1930136_1.fastq.gz;SRR1930136_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RampelliS_2015
SRR1930138;RampelliS_2015;SRR1930138_1.fastq.gz;SRR1930138_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RampelliS_2015
SRR1930140;RampelliS_2015;SRR1930140_1.fastq.gz;SRR1930140_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RampelliS_2015
SRR1930141;RampelliS_2015;SRR1930141_1.fastq.gz;SRR1930141_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RampelliS_2015
SRR1930142;RampelliS_2015;SRR1930142_1.fastq.gz;SRR1930142_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RampelliS_2015
