KEY;DATASET;PAIR_1;PAIR_2;SINGLE;IS_PAIR_END;PATH
ERR719034;RaymondF_2016;ERR719034_1.fastq.gz;ERR719034_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RaymondF_2016
ERR719048;RaymondF_2016;ERR719048_1.fastq.gz;ERR719048_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RaymondF_2016
ERR718989;RaymondF_2016;ERR718989_1.fastq.gz;ERR718989_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RaymondF_2016
ERR718990;RaymondF_2016;ERR718990_1.fastq.gz;ERR718990_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RaymondF_2016
ERR718991;RaymondF_2016;ERR718991_1.fastq.gz;ERR718991_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RaymondF_2016
ERR718992;RaymondF_2016;ERR718992_1.fastq.gz;ERR718992_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RaymondF_2016
ERR718993;RaymondF_2016;ERR718993_1.fastq.gz;ERR718993_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RaymondF_2016
ERR718994;RaymondF_2016;ERR718994_1.fastq.gz;ERR718994_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RaymondF_2016
ERR718995;RaymondF_2016;ERR718995_1.fastq.gz;ERR718995_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RaymondF_2016
ERR718996;RaymondF_2016;ERR718996_1.fastq.gz;ERR718996_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RaymondF_2016
ERR718997;RaymondF_2016;ERR718997_1.fastq.gz;ERR718997_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RaymondF_2016
ERR718998;RaymondF_2016;ERR718998_1.fastq.gz;ERR718998_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RaymondF_2016
ERR718999;RaymondF_2016;ERR718999_1.fastq.gz;ERR718999_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RaymondF_2016
ERR719000;RaymondF_2016;ERR719000_1.fastq.gz;ERR719000_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RaymondF_2016
ERR719001;RaymondF_2016;ERR719001_1.fastq.gz;ERR719001_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RaymondF_2016
ERR719002;RaymondF_2016;ERR719002_1.fastq.gz;ERR719002_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RaymondF_2016
ERR719003;RaymondF_2016;ERR719003_1.fastq.gz;ERR719003_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RaymondF_2016
ERR719004;RaymondF_2016;ERR719004_1.fastq.gz;ERR719004_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RaymondF_2016
ERR719005;RaymondF_2016;ERR719005_1.fastq.gz;ERR719005_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RaymondF_2016
ERR719006;RaymondF_2016;ERR719006_1.fastq.gz;ERR719006_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RaymondF_2016
ERR719007;RaymondF_2016;ERR719007_1.fastq.gz;ERR719007_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RaymondF_2016
ERR719008;RaymondF_2016;ERR719008_1.fastq.gz;ERR719008_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RaymondF_2016
ERR719009;RaymondF_2016;ERR719009_1.fastq.gz;ERR719009_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RaymondF_2016
ERR719010;RaymondF_2016;ERR719010_1.fastq.gz;ERR719010_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RaymondF_2016
ERR719011;RaymondF_2016;ERR719011_1.fastq.gz;ERR719011_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RaymondF_2016
ERR719012;RaymondF_2016;ERR719012_1.fastq.gz;ERR719012_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RaymondF_2016
ERR719013;RaymondF_2016;ERR719013_1.fastq.gz;ERR719013_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RaymondF_2016
ERR719014;RaymondF_2016;ERR719014_1.fastq.gz;ERR719014_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RaymondF_2016
ERR719015;RaymondF_2016;ERR719015_1.fastq.gz;ERR719015_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RaymondF_2016
ERR719016;RaymondF_2016;ERR719016_1.fastq.gz;ERR719016_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RaymondF_2016
ERR719017;RaymondF_2016;ERR719017_1.fastq.gz;ERR719017_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RaymondF_2016
ERR719018;RaymondF_2016;ERR719018_1.fastq.gz;ERR719018_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RaymondF_2016
ERR719019;RaymondF_2016;ERR719019_1.fastq.gz;ERR719019_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RaymondF_2016
ERR719020;RaymondF_2016;ERR719020_1.fastq.gz;ERR719020_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RaymondF_2016
ERR719021;RaymondF_2016;ERR719021_1.fastq.gz;ERR719021_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RaymondF_2016
ERR719022;RaymondF_2016;ERR719022_1.fastq.gz;ERR719022_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RaymondF_2016
ERR719023;RaymondF_2016;ERR719023_1.fastq.gz;ERR719023_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RaymondF_2016
ERR719024;RaymondF_2016;ERR719024_1.fastq.gz;ERR719024_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RaymondF_2016
ERR719025;RaymondF_2016;ERR719025_1.fastq.gz;ERR719025_2.fastq.gz;;True;/gfs/data/curated_metagenomes/RaymondF_2016
