KEY;DATASET;PAIR_1;PAIR_2;SINGLE;IS_PAIR_END;PATH
SRR5127430;SchirmerM_2016;SRR5127430_1.fastq.gz;SRR5127430_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5128373;SchirmerM_2016;;;SRR5128373.fastq.gz;False;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127392;SchirmerM_2016;SRR5127392_1.fastq.gz;SRR5127392_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127393;SchirmerM_2016;SRR5127393_1.fastq.gz;SRR5127393_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127394;SchirmerM_2016;SRR5127394_1.fastq.gz;SRR5127394_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127395;SchirmerM_2016;SRR5127395_1.fastq.gz;SRR5127395_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127396;SchirmerM_2016;SRR5127396_1.fastq.gz;SRR5127396_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127397;SchirmerM_2016;SRR5127397_1.fastq.gz;SRR5127397_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127398;SchirmerM_2016;SRR5127398_1.fastq.gz;SRR5127398_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127399;SchirmerM_2016;SRR5127399_1.fastq.gz;SRR5127399_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127400;SchirmerM_2016;SRR5127400_1.fastq.gz;SRR5127400_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127401;SchirmerM_2016;SRR5127401_1.fastq.gz;SRR5127401_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127402;SchirmerM_2016;SRR5127402_1.fastq.gz;SRR5127402_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127403;SchirmerM_2016;SRR5127403_1.fastq.gz;SRR5127403_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127404;SchirmerM_2016;SRR5127404_1.fastq.gz;SRR5127404_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127405;SchirmerM_2016;SRR5127405_1.fastq.gz;SRR5127405_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127406;SchirmerM_2016;SRR5127406_1.fastq.gz;SRR5127406_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127407;SchirmerM_2016;SRR5127407_1.fastq.gz;SRR5127407_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127408;SchirmerM_2016;SRR5127408_1.fastq.gz;SRR5127408_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127409;SchirmerM_2016;SRR5127409_1.fastq.gz;SRR5127409_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127410;SchirmerM_2016;SRR5127410_1.fastq.gz;SRR5127410_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127411;SchirmerM_2016;SRR5127411_1.fastq.gz;SRR5127411_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127412;SchirmerM_2016;SRR5127412_1.fastq.gz;SRR5127412_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127413;SchirmerM_2016;SRR5127413_1.fastq.gz;SRR5127413_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127414;SchirmerM_2016;SRR5127414_1.fastq.gz;SRR5127414_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127415;SchirmerM_2016;SRR5127415_1.fastq.gz;SRR5127415_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127416;SchirmerM_2016;SRR5127416_1.fastq.gz;SRR5127416_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127417;SchirmerM_2016;SRR5127417_1.fastq.gz;SRR5127417_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127418;SchirmerM_2016;SRR5127418_1.fastq.gz;SRR5127418_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127419;SchirmerM_2016;SRR5127419_1.fastq.gz;SRR5127419_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127420;SchirmerM_2016;SRR5127420_1.fastq.gz;SRR5127420_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127421;SchirmerM_2016;SRR5127421_1.fastq.gz;SRR5127421_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127422;SchirmerM_2016;SRR5127422_1.fastq.gz;SRR5127422_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127423;SchirmerM_2016;SRR5127423_1.fastq.gz;SRR5127423_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127424;SchirmerM_2016;SRR5127424_1.fastq.gz;SRR5127424_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127425;SchirmerM_2016;SRR5127425_1.fastq.gz;SRR5127425_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127426;SchirmerM_2016;SRR5127426_1.fastq.gz;SRR5127426_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127427;SchirmerM_2016;SRR5127427_1.fastq.gz;SRR5127427_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127428;SchirmerM_2016;SRR5127428_1.fastq.gz;SRR5127428_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127429;SchirmerM_2016;SRR5127429_1.fastq.gz;SRR5127429_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127431;SchirmerM_2016;SRR5127431_1.fastq.gz;SRR5127431_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127432;SchirmerM_2016;SRR5127432_1.fastq.gz;SRR5127432_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127433;SchirmerM_2016;SRR5127433_1.fastq.gz;SRR5127433_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127434;SchirmerM_2016;SRR5127434_1.fastq.gz;SRR5127434_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127435;SchirmerM_2016;SRR5127435_1.fastq.gz;SRR5127435_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127436;SchirmerM_2016;SRR5127436_1.fastq.gz;SRR5127436_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
SRR5127437;SchirmerM_2016;SRR5127437_1.fastq.gz;SRR5127437_2.fastq.gz;;True;/gfs/data/curated_metagenomes/SchirmerM_2016
