KEY;DATASET;PAIR_1;PAIR_2;SINGLE;IS_PAIR_END;PATH
SRR4305069;VatanenT_2016;SRR4305069_1.fastq.gz;SRR4305069_2.fastq.gz;;True;/gfs/data/curated_metagenomes/VatanenT_2016
SRR4305031;VatanenT_2016;SRR4305031_1.fastq.gz;SRR4305031_2.fastq.gz;;True;/gfs/data/curated_metagenomes/VatanenT_2016
SRR4305032;VatanenT_2016;SRR4305032_1.fastq.gz;SRR4305032_2.fastq.gz;;True;/gfs/data/curated_metagenomes/VatanenT_2016
SRR4305033;VatanenT_2016;SRR4305033_1.fastq.gz;SRR4305033_2.fastq.gz;;True;/gfs/data/curated_metagenomes/VatanenT_2016
SRR4305034;VatanenT_2016;SRR4305034_1.fastq.gz;SRR4305034_2.fastq.gz;;True;/gfs/data/curated_metagenomes/VatanenT_2016
SRR4305035;VatanenT_2016;SRR4305035_1.fastq.gz;SRR4305035_2.fastq.gz;;True;/gfs/data/curated_metagenomes/VatanenT_2016
SRR4305036;VatanenT_2016;SRR4305036_1.fastq.gz;SRR4305036_2.fastq.gz;;True;/gfs/data/curated_metagenomes/VatanenT_2016
SRR4305037;VatanenT_2016;SRR4305037_1.fastq.gz;SRR4305037_2.fastq.gz;;True;/gfs/data/curated_metagenomes/VatanenT_2016
SRR4305038;VatanenT_2016;SRR4305038_1.fastq.gz;SRR4305038_2.fastq.gz;;True;/gfs/data/curated_metagenomes/VatanenT_2016
SRR4305039;VatanenT_2016;SRR4305039_1.fastq.gz;SRR4305039_2.fastq.gz;;True;/gfs/data/curated_metagenomes/VatanenT_2016
SRR4305040;VatanenT_2016;SRR4305040_1.fastq.gz;SRR4305040_2.fastq.gz;;True;/gfs/data/curated_metagenomes/VatanenT_2016
SRR4305041;VatanenT_2016;SRR4305041_1.fastq.gz;SRR4305041_2.fastq.gz;;True;/gfs/data/curated_metagenomes/VatanenT_2016
SRR4305042;VatanenT_2016;SRR4305042_1.fastq.gz;SRR4305042_2.fastq.gz;;True;/gfs/data/curated_metagenomes/VatanenT_2016
SRR4305043;VatanenT_2016;SRR4305043_1.fastq.gz;SRR4305043_2.fastq.gz;;True;/gfs/data/curated_metagenomes/VatanenT_2016
SRR4305044;VatanenT_2016;SRR4305044_1.fastq.gz;SRR4305044_2.fastq.gz;;True;/gfs/data/curated_metagenomes/VatanenT_2016
SRR4305045;VatanenT_2016;SRR4305045_1.fastq.gz;SRR4305045_2.fastq.gz;;True;/gfs/data/curated_metagenomes/VatanenT_2016
SRR4305046;VatanenT_2016;SRR4305046_1.fastq.gz;SRR4305046_2.fastq.gz;;True;/gfs/data/curated_metagenomes/VatanenT_2016
SRR4305047;VatanenT_2016;SRR4305047_1.fastq.gz;SRR4305047_2.fastq.gz;;True;/gfs/data/curated_metagenomes/VatanenT_2016
SRR4305048;VatanenT_2016;SRR4305048_1.fastq.gz;SRR4305048_2.fastq.gz;;True;/gfs/data/curated_metagenomes/VatanenT_2016
SRR4305049;VatanenT_2016;SRR4305049_1.fastq.gz;SRR4305049_2.fastq.gz;;True;/gfs/data/curated_metagenomes/VatanenT_2016
SRR4305050;VatanenT_2016;SRR4305050_1.fastq.gz;SRR4305050_2.fastq.gz;;True;/gfs/data/curated_metagenomes/VatanenT_2016
SRR4305051;VatanenT_2016;SRR4305051_1.fastq.gz;SRR4305051_2.fastq.gz;;True;/gfs/data/curated_metagenomes/VatanenT_2016
SRR4305052;VatanenT_2016;SRR4305052_1.fastq.gz;SRR4305052_2.fastq.gz;;True;/gfs/data/curated_metagenomes/VatanenT_2016
SRR4305053;VatanenT_2016;SRR4305053_1.fastq.gz;SRR4305053_2.fastq.gz;;True;/gfs/data/curated_metagenomes/VatanenT_2016
SRR4305054;VatanenT_2016;SRR4305054_1.fastq.gz;SRR4305054_2.fastq.gz;;True;/gfs/data/curated_metagenomes/VatanenT_2016
SRR4305055;VatanenT_2016;SRR4305055_1.fastq.gz;SRR4305055_2.fastq.gz;;True;/gfs/data/curated_metagenomes/VatanenT_2016
SRR4305056;VatanenT_2016;SRR4305056_1.fastq.gz;SRR4305056_2.fastq.gz;;True;/gfs/data/curated_metagenomes/VatanenT_2016
