KEY;DATASET;PAIR_1;PAIR_2;SINGLE;IS_PAIR_END;PATH
SRR2565533;VincentC_2016;;;SRR2565533.fastq.gz;False;/gfs/data/curated_metagenomes/VincentC_2016
SRR2565534;VincentC_2016;;;SRR2565534.fastq.gz;False;/gfs/data/curated_metagenomes/VincentC_2016
SRR2565535;VincentC_2016;;;SRR2565535.fastq.gz;False;/gfs/data/curated_metagenomes/VincentC_2016
SRR2565536;VincentC_2016;;;SRR2565536.fastq.gz;False;/gfs/data/curated_metagenomes/VincentC_2016
SRR2565537;VincentC_2016;;;SRR2565537.fastq.gz;False;/gfs/data/curated_metagenomes/VincentC_2016
SRR2565538;VincentC_2016;;;SRR2565538.fastq.gz;False;/gfs/data/curated_metagenomes/VincentC_2016
SRR2565539;VincentC_2016;;;SRR2565539.fastq.gz;False;/gfs/data/curated_metagenomes/VincentC_2016
SRR2565540;VincentC_2016;;;SRR2565540.fastq.gz;False;/gfs/data/curated_metagenomes/VincentC_2016
SRR2565541;VincentC_2016;;;SRR2565541.fastq.gz;False;/gfs/data/curated_metagenomes/VincentC_2016
SRR2565542;VincentC_2016;;;SRR2565542.fastq.gz;False;/gfs/data/curated_metagenomes/VincentC_2016
SRR2565543;VincentC_2016;;;SRR2565543.fastq.gz;False;/gfs/data/curated_metagenomes/VincentC_2016
SRR2565544;VincentC_2016;;;SRR2565544.fastq.gz;False;/gfs/data/curated_metagenomes/VincentC_2016
SRR2565545;VincentC_2016;;;SRR2565545.fastq.gz;False;/gfs/data/curated_metagenomes/VincentC_2016
SRR2565546;VincentC_2016;;;SRR2565546.fastq.gz;False;/gfs/data/curated_metagenomes/VincentC_2016
SRR2565547;VincentC_2016;;;SRR2565547.fastq.gz;False;/gfs/data/curated_metagenomes/VincentC_2016
SRR2565548;VincentC_2016;;;SRR2565548.fastq.gz;False;/gfs/data/curated_metagenomes/VincentC_2016
SRR2565549;VincentC_2016;;;SRR2565549.fastq.gz;False;/gfs/data/curated_metagenomes/VincentC_2016
SRR2565550;VincentC_2016;;;SRR2565550.fastq.gz;False;/gfs/data/curated_metagenomes/VincentC_2016
SRR2565551;VincentC_2016;;;SRR2565551.fastq.gz;False;/gfs/data/curated_metagenomes/VincentC_2016
SRR2565552;VincentC_2016;;;SRR2565552.fastq.gz;False;/gfs/data/curated_metagenomes/VincentC_2016
SRR2565553;VincentC_2016;;;SRR2565553.fastq.gz;False;/gfs/data/curated_metagenomes/VincentC_2016
SRR2565554;VincentC_2016;;;SRR2565554.fastq.gz;False;/gfs/data/curated_metagenomes/VincentC_2016
SRR2565555;VincentC_2016;;;SRR2565555.fastq.gz;False;/gfs/data/curated_metagenomes/VincentC_2016
