KEY;DATASET;PAIR_1;PAIR_2;SINGLE;IS_PAIR_END;PATH
ERR1293056;VogtmannE_2016;;;ERR1293056.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293057;VogtmannE_2016;;;ERR1293057.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293058;VogtmannE_2016;;;ERR1293058.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293059;VogtmannE_2016;;;ERR1293059.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293060;VogtmannE_2016;;;ERR1293060.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293061;VogtmannE_2016;;;ERR1293061.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293062;VogtmannE_2016;;;ERR1293062.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293063;VogtmannE_2016;;;ERR1293063.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293064;VogtmannE_2016;;;ERR1293064.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293065;VogtmannE_2016;;;ERR1293065.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293066;VogtmannE_2016;;;ERR1293066.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293067;VogtmannE_2016;;;ERR1293067.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293068;VogtmannE_2016;;;ERR1293068.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293069;VogtmannE_2016;;;ERR1293069.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293070;VogtmannE_2016;;;ERR1293070.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293071;VogtmannE_2016;;;ERR1293071.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293072;VogtmannE_2016;;;ERR1293072.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293073;VogtmannE_2016;;;ERR1293073.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293074;VogtmannE_2016;;;ERR1293074.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293075;VogtmannE_2016;;;ERR1293075.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293076;VogtmannE_2016;;;ERR1293076.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293077;VogtmannE_2016;;;ERR1293077.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293078;VogtmannE_2016;;;ERR1293078.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293079;VogtmannE_2016;;;ERR1293079.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293080;VogtmannE_2016;;;ERR1293080.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293081;VogtmannE_2016;;;ERR1293081.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293082;VogtmannE_2016;;;ERR1293082.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293083;VogtmannE_2016;;;ERR1293083.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293084;VogtmannE_2016;;;ERR1293084.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293085;VogtmannE_2016;;;ERR1293085.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293086;VogtmannE_2016;;;ERR1293086.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293087;VogtmannE_2016;;;ERR1293087.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293088;VogtmannE_2016;;;ERR1293088.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293089;VogtmannE_2016;;;ERR1293089.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293090;VogtmannE_2016;;;ERR1293090.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293091;VogtmannE_2016;;;ERR1293091.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293092;VogtmannE_2016;;;ERR1293092.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293093;VogtmannE_2016;;;ERR1293093.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293094;VogtmannE_2016;;;ERR1293094.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293095;VogtmannE_2016;;;ERR1293095.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293096;VogtmannE_2016;;;ERR1293096.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293097;VogtmannE_2016;;;ERR1293097.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293098;VogtmannE_2016;;;ERR1293098.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293099;VogtmannE_2016;;;ERR1293099.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293100;VogtmannE_2016;;;ERR1293100.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293101;VogtmannE_2016;;;ERR1293101.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293102;VogtmannE_2016;;;ERR1293102.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293103;VogtmannE_2016;;;ERR1293103.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293104;VogtmannE_2016;;;ERR1293104.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293105;VogtmannE_2016;;;ERR1293105.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293106;VogtmannE_2016;;;ERR1293106.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293107;VogtmannE_2016;;;ERR1293107.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293108;VogtmannE_2016;;;ERR1293108.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293109;VogtmannE_2016;;;ERR1293109.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293110;VogtmannE_2016;;;ERR1293110.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293111;VogtmannE_2016;;;ERR1293111.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293112;VogtmannE_2016;;;ERR1293112.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293113;VogtmannE_2016;;;ERR1293113.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293114;VogtmannE_2016;;;ERR1293114.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293115;VogtmannE_2016;;;ERR1293115.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293116;VogtmannE_2016;;;ERR1293116.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293117;VogtmannE_2016;;;ERR1293117.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293118;VogtmannE_2016;;;ERR1293118.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293119;VogtmannE_2016;;;ERR1293119.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293120;VogtmannE_2016;;;ERR1293120.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293121;VogtmannE_2016;;;ERR1293121.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293122;VogtmannE_2016;;;ERR1293122.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293123;VogtmannE_2016;;;ERR1293123.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293124;VogtmannE_2016;;;ERR1293124.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293125;VogtmannE_2016;;;ERR1293125.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293126;VogtmannE_2016;;;ERR1293126.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293127;VogtmannE_2016;;;ERR1293127.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293128;VogtmannE_2016;;;ERR1293128.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293129;VogtmannE_2016;;;ERR1293129.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293130;VogtmannE_2016;;;ERR1293130.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293131;VogtmannE_2016;;;ERR1293131.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293132;VogtmannE_2016;;;ERR1293132.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293133;VogtmannE_2016;;;ERR1293133.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293134;VogtmannE_2016;;;ERR1293134.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293135;VogtmannE_2016;;;ERR1293135.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293136;VogtmannE_2016;;;ERR1293136.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293137;VogtmannE_2016;;;ERR1293137.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293138;VogtmannE_2016;;;ERR1293138.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293139;VogtmannE_2016;;;ERR1293139.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293140;VogtmannE_2016;;;ERR1293140.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293141;VogtmannE_2016;;;ERR1293141.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293142;VogtmannE_2016;;;ERR1293142.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293143;VogtmannE_2016;;;ERR1293143.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293144;VogtmannE_2016;;;ERR1293144.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293145;VogtmannE_2016;;;ERR1293145.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293146;VogtmannE_2016;;;ERR1293146.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293147;VogtmannE_2016;;;ERR1293147.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293148;VogtmannE_2016;;;ERR1293148.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293149;VogtmannE_2016;;;ERR1293149.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293150;VogtmannE_2016;;;ERR1293150.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293151;VogtmannE_2016;;;ERR1293151.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293152;VogtmannE_2016;;;ERR1293152.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293153;VogtmannE_2016;;;ERR1293153.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293154;VogtmannE_2016;;;ERR1293154.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293155;VogtmannE_2016;;;ERR1293155.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293156;VogtmannE_2016;;;ERR1293156.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293157;VogtmannE_2016;;;ERR1293157.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293158;VogtmannE_2016;;;ERR1293158.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293159;VogtmannE_2016;;;ERR1293159.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293160;VogtmannE_2016;;;ERR1293160.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293161;VogtmannE_2016;;;ERR1293161.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293162;VogtmannE_2016;;;ERR1293162.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293163;VogtmannE_2016;;;ERR1293163.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293164;VogtmannE_2016;;;ERR1293164.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293165;VogtmannE_2016;;;ERR1293165.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293166;VogtmannE_2016;;;ERR1293166.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293167;VogtmannE_2016;;;ERR1293167.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293168;VogtmannE_2016;;;ERR1293168.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293169;VogtmannE_2016;;;ERR1293169.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293170;VogtmannE_2016;;;ERR1293170.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293171;VogtmannE_2016;;;ERR1293171.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293172;VogtmannE_2016;;;ERR1293172.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293173;VogtmannE_2016;;;ERR1293173.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
ERR1293174;VogtmannE_2016;;;ERR1293174.fastq.gz;False;/gfs/data/curated_metagenomes/VogtmannE_2016
