KEY;DATASET;PAIR_1;PAIR_2;SINGLE;IS_PAIR_END;PATH
ERR911999;XieH_2016;ERR911999_1.fastq.gz;ERR911999_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911953;XieH_2016;ERR911953_1.fastq.gz;ERR911953_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911954;XieH_2016;ERR911954_1.fastq.gz;ERR911954_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911955;XieH_2016;ERR911955_1.fastq.gz;ERR911955_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911956;XieH_2016;ERR911956_1.fastq.gz;ERR911956_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911957;XieH_2016;ERR911957_1.fastq.gz;ERR911957_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911958;XieH_2016;ERR911958_1.fastq.gz;ERR911958_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911959;XieH_2016;ERR911959_1.fastq.gz;ERR911959_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911960;XieH_2016;ERR911960_1.fastq.gz;ERR911960_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911961;XieH_2016;ERR911961_1.fastq.gz;ERR911961_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911962;XieH_2016;ERR911962_1.fastq.gz;ERR911962_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911963;XieH_2016;ERR911963_1.fastq.gz;ERR911963_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911964;XieH_2016;ERR911964_1.fastq.gz;ERR911964_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911965;XieH_2016;ERR911965_1.fastq.gz;ERR911965_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911966;XieH_2016;ERR911966_1.fastq.gz;ERR911966_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911967;XieH_2016;ERR911967_1.fastq.gz;ERR911967_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911968;XieH_2016;ERR911968_1.fastq.gz;ERR911968_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911969;XieH_2016;ERR911969_1.fastq.gz;ERR911969_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911970;XieH_2016;ERR911970_1.fastq.gz;ERR911970_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911971;XieH_2016;ERR911971_1.fastq.gz;ERR911971_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911972;XieH_2016;ERR911972_1.fastq.gz;ERR911972_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911973;XieH_2016;ERR911973_1.fastq.gz;ERR911973_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911974;XieH_2016;ERR911974_1.fastq.gz;ERR911974_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911975;XieH_2016;ERR911975_1.fastq.gz;ERR911975_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911976;XieH_2016;ERR911976_1.fastq.gz;ERR911976_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911977;XieH_2016;ERR911977_1.fastq.gz;ERR911977_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911978;XieH_2016;ERR911978_1.fastq.gz;ERR911978_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911979;XieH_2016;ERR911979_1.fastq.gz;ERR911979_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911980;XieH_2016;ERR911980_1.fastq.gz;ERR911980_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911981;XieH_2016;ERR911981_1.fastq.gz;ERR911981_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911982;XieH_2016;ERR911982_1.fastq.gz;ERR911982_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911983;XieH_2016;ERR911983_1.fastq.gz;ERR911983_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911984;XieH_2016;ERR911984_1.fastq.gz;ERR911984_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911985;XieH_2016;ERR911985_1.fastq.gz;ERR911985_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911986;XieH_2016;ERR911986_1.fastq.gz;ERR911986_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911987;XieH_2016;ERR911987_1.fastq.gz;ERR911987_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911988;XieH_2016;ERR911988_1.fastq.gz;ERR911988_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911989;XieH_2016;ERR911989_1.fastq.gz;ERR911989_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911990;XieH_2016;ERR911990_1.fastq.gz;ERR911990_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911991;XieH_2016;ERR911991_1.fastq.gz;ERR911991_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911992;XieH_2016;ERR911992_1.fastq.gz;ERR911992_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911993;XieH_2016;ERR911993_1.fastq.gz;ERR911993_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911994;XieH_2016;ERR911994_1.fastq.gz;ERR911994_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911995;XieH_2016;ERR911995_1.fastq.gz;ERR911995_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911996;XieH_2016;ERR911996_1.fastq.gz;ERR911996_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911997;XieH_2016;ERR911997_1.fastq.gz;ERR911997_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR911998;XieH_2016;ERR911998_1.fastq.gz;ERR911998_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR912000;XieH_2016;ERR912000_1.fastq.gz;ERR912000_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR912001;XieH_2016;ERR912001_1.fastq.gz;ERR912001_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR912002;XieH_2016;ERR912002_1.fastq.gz;ERR912002_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR912003;XieH_2016;ERR912003_1.fastq.gz;ERR912003_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR912004;XieH_2016;ERR912004_1.fastq.gz;ERR912004_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR912005;XieH_2016;ERR912005_1.fastq.gz;ERR912005_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR912006;XieH_2016;ERR912006_1.fastq.gz;ERR912006_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR912007;XieH_2016;ERR912007_1.fastq.gz;ERR912007_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR912008;XieH_2016;ERR912008_1.fastq.gz;ERR912008_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR912009;XieH_2016;ERR912009_1.fastq.gz;ERR912009_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR912010;XieH_2016;ERR912010_1.fastq.gz;ERR912010_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR912011;XieH_2016;ERR912011_1.fastq.gz;ERR912011_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR912012;XieH_2016;ERR912012_1.fastq.gz;ERR912012_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR912013;XieH_2016;ERR912013_1.fastq.gz;ERR912013_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR912014;XieH_2016;ERR912014_1.fastq.gz;ERR912014_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR912015;XieH_2016;ERR912015_1.fastq.gz;ERR912015_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR912016;XieH_2016;ERR912016_1.fastq.gz;ERR912016_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR912017;XieH_2016;ERR912017_1.fastq.gz;ERR912017_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR912018;XieH_2016;ERR912018_1.fastq.gz;ERR912018_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR912019;XieH_2016;ERR912019_1.fastq.gz;ERR912019_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR912020;XieH_2016;ERR912020_1.fastq.gz;ERR912020_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR912021;XieH_2016;ERR912021_1.fastq.gz;ERR912021_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
ERR912022;XieH_2016;ERR912022_1.fastq.gz;ERR912022_2.fastq.gz;;True;/gfs/data/curated_metagenomes/XieH_2016
