KEY;DATASET;PAIR_1;PAIR_2;SINGLE;IS_PAIR_END;PATH
ERR1018223;YuJ_2015;ERR1018223_1.fastq.gz;ERR1018223_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018185;YuJ_2015;ERR1018185_1.fastq.gz;ERR1018185_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018186;YuJ_2015;ERR1018186_1.fastq.gz;ERR1018186_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018187;YuJ_2015;ERR1018187_1.fastq.gz;ERR1018187_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018188;YuJ_2015;ERR1018188_1.fastq.gz;ERR1018188_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018189;YuJ_2015;ERR1018189_1.fastq.gz;ERR1018189_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018190;YuJ_2015;ERR1018190_1.fastq.gz;ERR1018190_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018191;YuJ_2015;ERR1018191_1.fastq.gz;ERR1018191_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018192;YuJ_2015;ERR1018192_1.fastq.gz;ERR1018192_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018193;YuJ_2015;ERR1018193_1.fastq.gz;ERR1018193_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018194;YuJ_2015;ERR1018194_1.fastq.gz;ERR1018194_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018195;YuJ_2015;ERR1018195_1.fastq.gz;ERR1018195_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018196;YuJ_2015;ERR1018196_1.fastq.gz;ERR1018196_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018197;YuJ_2015;ERR1018197_1.fastq.gz;ERR1018197_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018198;YuJ_2015;ERR1018198_1.fastq.gz;ERR1018198_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018199;YuJ_2015;ERR1018199_1.fastq.gz;ERR1018199_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018200;YuJ_2015;ERR1018200_1.fastq.gz;ERR1018200_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018201;YuJ_2015;ERR1018201_1.fastq.gz;ERR1018201_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018202;YuJ_2015;ERR1018202_1.fastq.gz;ERR1018202_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018203;YuJ_2015;ERR1018203_1.fastq.gz;ERR1018203_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018204;YuJ_2015;ERR1018204_1.fastq.gz;ERR1018204_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018205;YuJ_2015;ERR1018205_1.fastq.gz;ERR1018205_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018206;YuJ_2015;ERR1018206_1.fastq.gz;ERR1018206_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018207;YuJ_2015;ERR1018207_1.fastq.gz;ERR1018207_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018208;YuJ_2015;ERR1018208_1.fastq.gz;ERR1018208_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018209;YuJ_2015;ERR1018209_1.fastq.gz;ERR1018209_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018210;YuJ_2015;ERR1018210_1.fastq.gz;ERR1018210_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018211;YuJ_2015;ERR1018211_1.fastq.gz;ERR1018211_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018212;YuJ_2015;ERR1018212_1.fastq.gz;ERR1018212_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018213;YuJ_2015;ERR1018213_1.fastq.gz;ERR1018213_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018214;YuJ_2015;ERR1018214_1.fastq.gz;ERR1018214_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018215;YuJ_2015;ERR1018215_1.fastq.gz;ERR1018215_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018216;YuJ_2015;ERR1018216_1.fastq.gz;ERR1018216_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018217;YuJ_2015;ERR1018217_1.fastq.gz;ERR1018217_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018218;YuJ_2015;ERR1018218_1.fastq.gz;ERR1018218_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018219;YuJ_2015;ERR1018219_1.fastq.gz;ERR1018219_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018220;YuJ_2015;ERR1018220_1.fastq.gz;ERR1018220_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018221;YuJ_2015;ERR1018221_1.fastq.gz;ERR1018221_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018222;YuJ_2015;ERR1018222_1.fastq.gz;ERR1018222_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018224;YuJ_2015;ERR1018224_1.fastq.gz;ERR1018224_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018225;YuJ_2015;ERR1018225_1.fastq.gz;ERR1018225_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018226;YuJ_2015;ERR1018226_1.fastq.gz;ERR1018226_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
ERR1018227;YuJ_2015;ERR1018227_1.fastq.gz;ERR1018227_2.fastq.gz;;True;/gfs/data/curated_metagenomes/YuJ_2015
