KEY;DATASET;PAIR_1;PAIR_2;SINGLE;IS_PAIR_END;PATH
ERR479003;ZellerG_2014;ERR479003_1.fastq.gz;ERR479003_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ZellerG_2014
ERR478958;ZellerG_2014;ERR478958_1.fastq.gz;ERR478958_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ZellerG_2014
ERR478959;ZellerG_2014;ERR478959_1.fastq.gz;ERR478959_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ZellerG_2014
ERR478960;ZellerG_2014;ERR478960_1.fastq.gz;ERR478960_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ZellerG_2014
ERR478961;ZellerG_2014;ERR478961_1.fastq.gz;ERR478961_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ZellerG_2014
ERR478962;ZellerG_2014;ERR478962_1.fastq.gz;ERR478962_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ZellerG_2014
ERR478963;ZellerG_2014;ERR478963_1.fastq.gz;ERR478963_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ZellerG_2014
ERR478964;ZellerG_2014;ERR478964_1.fastq.gz;ERR478964_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ZellerG_2014
ERR478965;ZellerG_2014;ERR478965_1.fastq.gz;ERR478965_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ZellerG_2014
ERR478966;ZellerG_2014;ERR478966_1.fastq.gz;ERR478966_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ZellerG_2014
ERR478967;ZellerG_2014;ERR478967_1.fastq.gz;ERR478967_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ZellerG_2014
ERR478968;ZellerG_2014;ERR478968_1.fastq.gz;ERR478968_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ZellerG_2014
ERR478969;ZellerG_2014;ERR478969_1.fastq.gz;ERR478969_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ZellerG_2014
ERR478970;ZellerG_2014;ERR478970_1.fastq.gz;ERR478970_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ZellerG_2014
ERR478971;ZellerG_2014;ERR478971_1.fastq.gz;ERR478971_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ZellerG_2014
ERR478972;ZellerG_2014;ERR478972_1.fastq.gz;ERR478972_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ZellerG_2014
ERR478973;ZellerG_2014;ERR478973_1.fastq.gz;ERR478973_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ZellerG_2014
ERR478974;ZellerG_2014;ERR478974_1.fastq.gz;ERR478974_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ZellerG_2014
ERR478975;ZellerG_2014;ERR478975_1.fastq.gz;ERR478975_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ZellerG_2014
ERR478976;ZellerG_2014;ERR478976_1.fastq.gz;ERR478976_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ZellerG_2014
ERR478977;ZellerG_2014;ERR478977_1.fastq.gz;ERR478977_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ZellerG_2014
ERR478978;ZellerG_2014;ERR478978_1.fastq.gz;ERR478978_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ZellerG_2014
ERR478979;ZellerG_2014;ERR478979_1.fastq.gz;ERR478979_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ZellerG_2014
ERR478980;ZellerG_2014;ERR478980_1.fastq.gz;ERR478980_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ZellerG_2014
ERR478981;ZellerG_2014;ERR478981_1.fastq.gz;ERR478981_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ZellerG_2014
ERR478982;ZellerG_2014;ERR478982_1.fastq.gz;ERR478982_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ZellerG_2014
ERR478983;ZellerG_2014;ERR478983_1.fastq.gz;ERR478983_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ZellerG_2014
ERR478984;ZellerG_2014;ERR478984_1.fastq.gz;ERR478984_2.fastq.gz;;True;/gfs/data/curated_metagenomes/ZellerG_2014
